failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score
Hydraulic,Environment,0.29,5,12,34.23
Mechanical,Environment,1.63,1,4,28.95
Electrical,Operator,8.51,3,13,78.92
Hydraulic,Environment,4.24,5,11,53.12
Hydraulic,Operator,6.91,2,20,61.55
Electrical,Operator,4.96,2,18,49.31
Mechanical,Operator,1.47,5,21,73.42
Mechanical,Deterioration,7.67,1,22,73.64
Mechanical,Deterioration,2.35,1,5,47.97
Hydraulic,Operator,5.15,4,2,73.64
Software,Deterioration,8.32,5,19,78.74
Electrical,Deterioration,0.67,2,8,29.62
Hydraulic,Operator,0.5,5,11,51.92
Software,Environment,5.2,3,21,66.09
Hydraulic,Environment,8.16,2,11,59.02
Mechanical,Operator,7.91,2,20,87.21
Software,Environment,6.73,4,20,73.54
Software,Environment,9.02,1,4,62.21
Hydraulic,Environment,9.17,1,16,44.59
Electrical,Operator,0.62,4,12,49.6
Hydraulic,Operator,5.0,2,3,58.87
Software,Operator,3.45,1,21,59.38
Software,Operator,7.82,5,18,75.86
Software,Environment,6.58,2,6,67.83
Hydraulic,Deterioration,7.99,5,17,73.88
Software,Deterioration,0.57,3,1,50.46
Electrical,Operator,9.64,3,1,90.0
Software,Operator,7.08,3,14,60.92
Mechanical,Operator,7.09,4,20,87.27
Electrical,Deterioration,9.22,2,18,63.71
Software,Operator,0.9,3,4,58.02
Mechanical,Environment,6.44,2,14,55.52
Software,Operator,0.14,1,7,18.78
Electrical,Operator,5.63,1,3,55.4
Electrical,Deterioration,6.97,3,3,76.07
Mechanical,Environment,5.13,4,13,56.73
Software,Environment,6.23,4,17,60.63
Hydraulic,Environment,6.85,2,0,62.08
Mechanical,Environment,2.86,4,21,57.3
Hydraulic,Operator,0.62,2,0,38.26
Electrical,Deterioration,0.68,1,17,24.78
Hydraulic,Operator,1.87,2,23,53.08
Software,Environment,4.01,4,23,67.1
Software,Environment,9.79,2,20,74.85
Electrical,Environment,2.8,2,15,42.91
Hydraulic,Deterioration,2.23,2,23,42.1
Hydraulic,Environment,6.67,1,3,53.42
Mechanical,Operator,7.7,1,7,66.77
Electrical,Operator,2.96,4,10,59.69
Electrical,Environment,8.22,2,14,61.82
Hydraulic,Operator,5.27,4,4,74.71
Hydraulic,Environment,3.9,5,16,65.14
Mechanical,Deterioration,7.76,4,5,88.9
Mechanical,Deterioration,0.87,4,12,51.81
Electrical,Deterioration,4.08,4,11,61.08
Mechanical,Deterioration,3.47,1,3,48.5
Electrical,Operator,4.83,5,22,79.36
Software,Environment,2.26,3,9,32.97
Hydraulic,Environment,2.75,5,4,64.69
Software,Deterioration,6.44,2,17,59.1
Software,Operator,2.79,5,4,69.67
Hydraulic,Deterioration,0.01,3,5,50.44
Electrical,Deterioration,0.75,2,23,40.83
Software,Operator,1.77,4,21,53.14
Hydraulic,Environment,0.56,1,18,12.67
Electrical,Environment,5.03,3,0,52.07
Software,Environment,6.99,5,10,62.26
Software,Environment,8.35,4,22,79.0
Electrical,Operator,2.78,3,12,60.2
Electrical,Operator,3.02,1,3,45.91
Mechanical,Environment,1.33,5,18,51.21
Software,Environment,0.59,1,7,11.53
Electrical,Deterioration,4.83,3,19,47.53
Mechanical,Environment,7.3,3,16,52.59
Hydraulic,Deterioration,1.94,2,12,28.4
Electrical,Deterioration,0.48,1,12,16.77
Electrical,Deterioration,8.35,3,2,83.94
Software,Deterioration,0.46,2,1,47.06
Electrical,Operator,1.31,2,5,49.56
Software,Operator,0.73,5,4,71.41
Software,Operator,6.3,2,1,73.17
Hydraulic,Environment,7.37,1,20,55.33
Electrical,Environment,5.06,5,19,72.39
Hydraulic,Deterioration,9.66,4,2,90.0
Hydraulic,Deterioration,3.14,1,22,36.07
Mechanical,Deterioration,9.17,4,20,90.0
Software,Environment,3.01,4,14,36.39
Mechanical,Environment,2.53,5,8,64.51
Mechanical,Deterioration,9.01,2,3,77.79
Electrical,Deterioration,8.57,2,8,56.17
Software,Operator,4.81,2,13,53.42
Electrical,Operator,3.55,3,5,66.03
Hydraulic,Deterioration,8.67,4,3,77.45
Hydraulic,Deterioration,2.86,4,12,57.24
Electrical,Operator,5.39,3,4,62.67
Electrical,Operator,5.36,3,1,72.43
Software,Environment,4.65,4,10,55.76
Hydraulic,Environment,6.36,2,7,49.71
Hydraulic,Operator,6.5,2,22,73.95
Hydraulic,Environment,3.6,5,6,60.53
Software,Operator,8.2,5,6,90.0
Electrical,Deterioration,3.07,3,19,45.71
Hydraulic,Environment,8.4,1,19,57.25
Mechanical,Operator,6.94,1,22,77.63
Hydraulic,Deterioration,4.02,4,18,46.34
Mechanical,Environment,8.5,5,18,77.66
Mechanical,Environment,9.94,3,9,77.22
Electrical,Environment,9.15,1,0,63.76
Software,Operator,3.51,1,6,41.89
Electrical,Operator,6.88,5,17,87.79
Mechanical,Deterioration,9.88,3,18,68.42
Hydraulic,Environment,8.85,5,2,90.0
Electrical,Deterioration,4.32,4,5,70.77
Electrical,Deterioration,1.88,4,13,57.13
Electrical,Deterioration,8.3,5,7,89.73
Electrical,Operator,0.66,3,4,53.89
Software,Deterioration,1.52,3,2,54.82
Hydraulic,Operator,3.29,1,7,36.33
Electrical,Deterioration,3.14,2,18,34.64
Hydraulic,Deterioration,1.08,5,23,68.09
Electrical,Environment,5.49,1,5,50.52
Electrical,Environment,0.28,1,5,33.75
Hydraulic,Operator,4.27,5,1,68.33
Mechanical,Operator,7.13,1,14,53.42
Hydraulic,Operator,7.59,1,10,53.49
Hydraulic,Operator,8.9,1,3,74.4
Mechanical,Deterioration,9.15,2,17,68.56
Hydraulic,Operator,4.36,4,6,68.12
Software,Environment,6.58,1,7,32.53
Electrical,Deterioration,0.35,2,7,36.28
Mechanical,Deterioration,2.68,2,3,44.42
Electrical,Environment,4.32,4,11,58.94
Software,Environment,9.01,4,21,72.52
Mechanical,Deterioration,8.95,4,7,77.95
Mechanical,Deterioration,0.49,4,22,60.88
Hydraulic,Deterioration,1.92,4,13,53.31
Electrical,Operator,6.85,2,0,65.99
Mechanical,Environment,5.08,2,21,54.22
Electrical,Deterioration,5.71,2,20,66.65
Software,Deterioration,0.75,2,21,38.43
Electrical,Environment,3.24,1,7,39.56
Mechanical,Deterioration,8.0,3,1,87.54
Hydraulic,Deterioration,3.21,5,10,66.15
Mechanical,Deterioration,8.45,4,7,78.52
Hydraulic,Deterioration,5.27,1,8,43.18
Software,Deterioration,1.34,4,6,46.03
Mechanical,Deterioration,0.03,4,20,51.11
Mechanical,Environment,3.34,3,15,40.72
Mechanical,Environment,6.73,4,13,61.65
Hydraulic,Operator,9.18,4,3,84.27
Mechanical,Operator,9.74,4,6,90.0
Mechanical,Deterioration,0.49,1,23,46.79
Electrical,Operator,4.66,3,20,60.55
Electrical,Environment,9.03,2,20,68.38
Hydraulic,Deterioration,0.54,2,16,37.67
Hydraulic,Deterioration,9.92,4,22,84.91
Mechanical,Environment,6.12,2,17,51.33
Electrical,Deterioration,9.7,5,18,87.95
Mechanical,Operator,2.49,3,2,65.7
Electrical,Deterioration,0.23,2,6,47.51
Hydraulic,Deterioration,5.4,2,8,46.25
Hydraulic,Deterioration,1.63,4,21,55.7
Hydraulic,Operator,4.45,5,3,80.75
Software,Operator,1.16,3,18,44.13
Mechanical,Deterioration,2.3,4,11,47.02
Mechanical,Environment,7.23,5,5,86.69
Mechanical,Operator,7.75,5,14,90.0
Mechanical,Deterioration,6.94,1,17,47.73
Software,Operator,2.08,2,9,44.82
Electrical,Environment,4.91,1,18,32.01
Mechanical,Environment,2.41,5,16,49.29
Software,Environment,2.95,2,15,30.91
Hydraulic,Environment,7.3,4,22,82.12
Software,Operator,4.45,4,14,69.14
Hydraulic,Operator,2.4,5,7,58.78
Mechanical,Environment,2.08,4,22,62.39
Mechanical,Environment,0.99,2,9,25.45
Hydraulic,Deterioration,4.24,4,0,68.03
Mechanical,Environment,7.92,3,22,79.62
Mechanical,Deterioration,9.58,2,11,71.32
Mechanical,Environment,0.47,5,8,55.52
Electrical,Environment,5.71,3,4,72.17
Electrical,Environment,8.42,3,20,79.26
Mechanical,Environment,7.25,4,17,65.99
Software,Deterioration,2.84,2,15,31.77
Hydraulic,Environment,3.86,3,12,36.51
Mechanical,Deterioration,3.74,5,18,68.91
Hydraulic,Deterioration,5.26,3,22,59.54
Software,Environment,9.43,5,23,90.0
Software,Environment,1.39,5,11,47.44
Software,Deterioration,8.91,5,21,90.0
Electrical,Environment,0.22,4,17,45.45
Electrical,Operator,5.86,3,4,66.41
Mechanical,Operator,0.11,1,2,45.5
Electrical,Operator,9.39,4,23,90.0
Mechanical,Deterioration,7.34,2,18,67.34
Software,Deterioration,8.4,3,2,68.04
Electrical,Environment,5.84,2,20,48.38
Electrical,Operator,8.43,5,21,90.0
Electrical,Operator,5.93,1,13,44.64
Software,Operator,0.13,1,19,18.58
Hydraulic,Deterioration,0.24,5,5,53.73
Hydraulic,Deterioration,7.93,2,13,53.45
Software,Operator,5.51,4,17,71.0
Hydraulic,Environment,3.73,1,19,34.98
Electrical,Operator,4.38,3,20,75.31
Hydraulic,Environment,0.22,4,20,42.39
Hydraulic,Deterioration,2.87,2,20,46.78
Electrical,Operator,2.67,1,19,40.67
