walking_violation,unsafe_movement_score,improper_tool_usage,phone_usage_freq,distraction_score,work_speed,task_sequence_error,risk_trend,past_incidents,human_risk_label
10,0.9525582806150504,3,11,0.8222461208942707,1.07,1,0.9792823974287707,3,85
9,0.12656199025937076,1,19,0.009050709868810625,0.92,5,0.4324093367980528,6,86
1,0.4467803415010617,2,10,0.9029742039440691,1.2,0,0.6957667717421568,9,94
0,0.08645179269891778,5,6,0.9937415786707173,1.14,4,0.39826517029149155,10,96
2,0.8887021267024142,0,0,0.5992410458548159,0.81,3,0.44867204409092765,10,82
8,0.4761977187244295,3,9,0.6510714322216593,1.25,3,0.9393844234929176,5,98
9,0.5317741314164437,5,5,0.8151436201503036,0.91,5,0.8678963934968325,3,86
9,0.2858484014848518,0,11,0.4247572654827979,0.87,3,0.7503472075787909,3,82
6,0.5415188364487062,5,11,0.22023243702862216,1.15,2,0.15756953422736975,2,81
9,0.3349272660720274,1,12,0.49633576920060263,0.74,2,0.010537399681836868,2,99
10,0.8311242219362774,5,1,0.6127564347147398,1.27,4,0.18903381728149926,10,91
2,0.4825675090495919,4,2,0.9947944070275823,0.82,5,0.6052514407825215,7,87
9,0.6393634007494144,1,14,0.8521348526671444,1.17,4,0.3759201494797111,2,88
6,0.7715266214159775,2,14,0.6110994499429,0.98,3,0.39070203765854594,1,99
4,0.1428832466149168,1,15,0.9730389092609499,0.97,0,0.11197744203569182,1,50
2,0.055337901372477294,4,3,0.9834560478588862,0.93,0,0.4199709732776795,9,92
1,0.6751781428328172,0,4,0.4493355661447598,1.03,1,0.003796156431453479,9,50
4,0.4629740980503255,4,10,0.8723877568017796,1.23,0,0.40007220157892553,10,80
0,0.007278046350976397,1,19,0.7139317155086822,0.93,2,0.31719751102820604,6,94
8,0.9771970598981871,5,2,0.45397828537618323,0.97,5,0.9780042759849153,9,98
7,0.1309650070478412,3,5,0.36440428684507375,1.02,3,0.19108117324286777,4,83
0,0.08597303970926762,4,7,0.1936831234814106,0.74,1,0.21307025788892964,4,50
6,0.1811061085501895,0,17,0.7435339114873964,0.83,2,0.10581003260460142,1,50
9,0.3902375005266798,2,3,0.04657453399942635,0.98,1,0.2192141235993923,9,100
0,0.3187612267647033,3,19,0.6115745787401029,1.24,2,0.3231863579335582,10,98
3,0.10720787613322702,4,19,0.4325771081053681,1.04,1,0.8461869149468321,8,83
10,0.9167032588480953,4,13,0.730862937514768,1.01,5,0.9836553012810474,1,80
7,0.2924333512830789,0,4,0.45591072297929636,0.98,4,0.6217480110757453,6,88
8,0.29316382021959564,3,13,0.252587846862084,0.95,1,0.005293154257568045,7,92
4,0.6525381759488915,0,9,0.9141734283789437,0.91,0,0.9078737251807082,5,100
2,0.612010643416756,2,5,0.058915371374091974,0.84,2,0.44052677911870997,3,50
6,0.6930940418563095,5,7,0.5606278187753678,0.94,3,0.8012708734618869,7,84
5,0.6645281405775062,1,9,0.6644461659001937,1.21,2,0.9304083126046104,4,89
0,0.9070111868278977,4,16,0.6954811773905352,1.24,2,0.9092866200852195,10,90
4,0.9103356463206109,2,9,0.11571473614546202,0.92,4,0.9708336503369812,0,81
6,0.24159273291069638,0,4,0.8834333132591897,1.25,3,0.08333998994455516,8,100
8,0.6324656380643185,4,14,0.10192242968975129,0.78,2,0.13806655378000376,4,100
9,0.7996181215360897,1,20,0.6810727813270646,0.99,4,0.06348594367831151,9,83
7,0.020218432153323196,5,7,0.26521217450006596,1.19,3,0.9148754205789602,8,94
10,0.1805052842801831,0,15,0.28237520668035143,1.19,4,0.892914908778734,10,85
3,0.9765281319058231,4,20,0.9937627851886278,1.04,5,0.4925856199986256,1,89
10,0.5506261782388491,0,0,0.2381210588373327,1.12,0,0.004703657491884616,0,20
5,0.8793933278816906,4,1,0.8918275513722693,1.1,2,0.06148114069963051,2,83
10,0.9189401299491599,5,15,0.7207375305849832,0.84,5,0.6304395940252124,8,98
1,0.0770296093574303,4,6,0.05107057450090191,1.14,2,0.9798535725475431,10,87
3,0.9059647481514954,5,14,0.9389224854715024,1.05,0,0.2696770317455448,10,81
0,0.8726358231608677,2,5,0.9017698453885025,1.02,1,0.9084438937774463,4,83
8,0.03753706067788798,0,6,0.6133957538876287,0.83,2,0.46866294791244645,8,89
3,0.1470689061733056,3,15,0.5453715453477672,1.07,2,0.6608363552727672,2,93
0,0.020627429332297775,5,8,0.1968155316852569,1.2,5,0.026432526662218292,7,99
0,0.8668439555976126,2,1,0.22668544239887556,0.95,0,0.4349781259975982,10,80
6,0.4945845818809861,3,4,0.5564480332749951,1.12,1,0.6390696979241886,4,98
0,0.7850744178800837,2,12,0.31418787473163357,1.12,4,0.3669281789159189,6,97
6,0.4428501551096031,2,3,0.11309463029376754,0.92,3,0.2948341652127807,9,96
6,0.25089066227082923,2,0,0.6002712135949242,0.97,5,0.9344969860949374,0,94
9,0.5024903150407695,4,0,0.8652361045749822,1.23,1,0.6485764272993444,1,86
3,0.780189036645663,1,13,0.069976461031246,0.76,2,0.07364896567530232,6,92
5,0.969490056415558,2,12,0.17068399322584693,0.89,2,0.3206087883635419,2,94
7,0.5114620673352994,0,0,0.7793201510373128,0.8,1,0.542885125523056,5,50
10,0.6282465581315108,0,0,0.42825420701623274,1.01,4,0.10133553822987951,8,84
9,0.5559347935610716,3,12,0.29188906220971633,1.15,3,0.4634891165506355,6,97
1,0.011043916366331397,4,10,0.40601469547446356,0.8,5,0.03320156280019948,7,86
10,0.5882263679043452,1,3,0.791037959282111,1.25,1,0.471320510454593,9,80
1,0.07100428589724805,1,16,0.40901127907236656,1.24,5,0.6480553553663898,6,95
5,0.07642110088151488,5,8,0.09347127627553609,1.12,1,0.7352983856095198,9,90
5,0.20458770729726716,4,20,0.905419015538179,0.98,1,0.9707341352814386,4,92
1,0.5751958134032518,0,13,0.7615235633248721,0.78,4,0.7330997803989769,2,86
7,0.5236598245185554,2,16,0.8129162347965179,0.78,0,0.8923705858996003,4,90
0,0.6335418147535494,5,17,0.7069353698081505,1.14,4,0.7103929506097543,2,84
8,0.27488287007086687,3,2,0.4291815001455743,1.04,4,0.7104626722611356,10,80
9,0.6960715128753016,3,6,0.929487104118534,1.2,1,0.7482874373759258,3,90
6,0.2266198691607606,1,9,0.9883102798472619,0.75,1,0.6382395233717699,2,81
0,0.4881868173521755,2,5,0.8259647637654226,1.09,4,0.04075718061538558,8,91
10,0.6827145681973195,5,8,0.5229029465637132,1.01,4,0.6475058020646326,4,88
7,0.15781038337023723,5,9,0.5262588092862178,1.15,5,0.6367605252706807,4,87
5,0.45162023233506776,0,6,0.16688717825354338,1.29,0,0.593519736274372,7,50
3,0.7674994796534639,2,1,0.6922462334730647,1.14,0,0.012926094946011601,3,50
5,0.38923987237340885,2,11,0.68084163404875,1.1,4,0.9689903968279588,2,81
4,0.0757988197308963,3,13,0.05337099675621215,1.16,3,0.03396105588263554,8,97
9,0.08514234989944536,5,16,0.6883178276282189,1.29,4,0.057361825864928995,6,82
4,0.4004207907173495,4,15,0.7018166794190842,0.8,3,0.2016691741022043,0,99
4,0.2860528710688046,5,10,0.872052309243218,1.02,0,0.20020050992376615,10,85
8,0.5109252126146815,2,0,0.9027610363720051,0.99,2,0.9173223605396367,1,84
5,0.5927232497567435,1,17,0.5965318204747652,1.23,0,0.8577844509550697,7,87
6,0.3226799234843488,1,9,0.05746331675823346,0.77,2,0.31163047414697265,0,50
6,0.70424997692481,5,7,0.37042957642504626,1.24,2,0.43704343744629426,6,100
1,0.38708329062669444,2,15,0.3327656773289748,0.78,1,0.887094745056394,1,80
4,0.12629452290621834,0,7,0.4285820719601353,1.28,5,0.7485812863635136,0,50
8,0.7988329638015329,5,13,0.9369807931981189,1.19,4,0.2760830923348463,8,93
2,0.717733852680425,2,5,0.6395113341860895,1.18,5,0.9723052735778537,4,94
10,0.42242554571610436,1,5,0.3664036157897792,1.25,3,0.5579701062486486,3,93
9,0.4022179346922594,1,5,0.9101606030849867,1.26,3,0.3612004241516691,6,99
3,0.12800066691155676,0,18,0.9408987007134457,0.97,3,0.3950652658662416,7,96
9,0.18892976580865462,5,13,0.5046325307519564,0.88,2,0.3957060639917541,1,90
3,0.046974118986622515,2,7,0.9025935340865584,1.22,5,0.5133316140050113,0,81
5,0.6643169605111444,0,4,0.22112459404493978,0.78,5,0.954676859209127,8,87
10,0.9268060811625194,3,3,0.7029282414742759,0.89,3,0.8248732009166523,7,80
8,0.69676330905433,4,14,0.8003780350387212,0.97,5,0.053303661553957826,5,87
0,0.1550911031879677,2,7,0.5529145321925363,0.95,5,0.39262957296911993,9,84
5,0.8390704877504935,2,20,0.20934334538734622,1.3,3,0.9530171400056477,5,84
2,0.15699843789740464,5,1,0.7290334219932497,0.79,5,0.6783894080243201,5,89
9,0.700434836481422,3,0,0.6145221138358052,1.13,2,0.08283466101259684,2,89
9,0.3154768933530554,5,20,0.9312413077577689,0.78,0,0.9611596902849606,4,88
9,0.6063337592307431,1,18,0.5809942487992285,1.24,1,0.7281871582891203,9,98
3,0.433276926732706,2,18,0.9166504684948672,0.88,3,0.03321324337875842,5,98
6,0.4370604015704691,5,8,0.4917040998899448,1.08,0,0.6352953104526933,2,100
0,0.5084616188829343,3,12,0.17502485313218696,0.72,2,0.5491992717280162,1,50
3,0.13214027332289358,4,0,0.46975833910991305,1.16,5,0.05074949566092046,10,89
5,0.06531163560637798,1,6,0.6101442340721059,0.76,3,0.42033241132578103,6,91
0,0.109900453508181,2,15,0.3123960416743814,0.96,2,0.13739300820229783,1,50
6,0.4841992040526457,5,2,0.8506442604545053,1.14,4,0.7786517269382506,0,88
5,0.3744427805175212,2,3,0.5302432263733029,0.88,4,0.9192112445066694,4,93
4,0.5035955465457105,3,5,0.6958716755430386,1.19,4,0.8082996184629476,10,98
7,0.7630942595359003,0,10,0.2523144708394217,0.76,1,0.20870699679566385,7,93
0,0.12231849989688104,2,10,0.7837429238641631,1.24,5,0.5749291693330345,0,81
0,0.7645087218926662,4,6,0.6017017835396536,1.18,4,0.4325208746450948,10,84
6,0.573704639546523,0,19,0.9705981711596757,0.95,2,0.49680805637274483,6,89
4,0.2005794452827684,2,9,0.483303178671754,0.92,4,0.7221377188320881,9,91
4,0.7818201549917964,2,13,0.3833465847408548,1.12,3,0.11717595352794064,1,98
0,0.9900101835166528,5,11,0.7652550346940409,0.91,4,0.29439923456862926,8,99
9,0.24234391739272865,5,11,0.375632508137973,0.77,5,0.7046414047207394,10,86
0,0.27572856845577554,0,0,0.9212249826415279,1.15,2,0.060107319301730855,2,20
5,0.552437755694081,2,0,0.20580252143547295,0.89,3,0.47263121435544575,9,90
10,0.6749874809964552,0,8,0.8710670790748746,1.01,0,0.8388651810897143,5,83
6,0.2039422255533696,2,19,0.6603466645820067,1.16,2,0.7070683672548654,2,94
9,0.5495830745899711,2,7,0.033860869095454826,1.07,5,0.3877301743976056,3,95
5,0.7382786890061754,5,7,0.6486037181244246,1.12,0,0.6774235749633392,0,86
3,0.8752624843077969,4,3,0.7784985407329316,0.79,4,0.8679885059716376,4,87
0,0.38530253887143184,4,4,0.2659345384144678,0.97,2,0.6140869552286813,1,50
5,0.7246949052484433,3,20,0.7844475991952838,1.13,0,0.34079515881015177,6,93
9,0.09342510231545509,5,20,0.8292783686519464,1.11,5,0.11324121302228285,5,99
8,0.30477621150593626,1,13,0.21684780691906536,0.87,5,0.051832971842361575,7,98
6,0.41002387349716063,3,3,0.5621631547573003,1.03,2,0.5349153487302578,7,96
5,0.14267087162918923,3,1,0.3502531896203843,1.24,5,0.9891566384962013,2,96
3,0.7305338810561245,3,7,0.038565344160790715,0.92,1,0.28130440357474973,1,50
3,0.4315468638677388,0,12,0.4415109955837426,0.83,2,0.061340656607105415,2,50
1,0.5010537701558921,0,12,0.16109636668652083,1.06,3,0.5797075961646992,1,50
10,0.18028593835390905,1,16,0.2995771617539773,1.24,3,0.5094743814572767,8,84
9,0.5539393950002366,4,9,0.22897767613445041,1.29,3,0.5840385696890935,10,99
6,0.7285522158109057,5,3,0.4729057644044976,1.2,1,0.2769195361253721,8,88
9,0.6489609970679676,2,8,0.6364647595694192,0.75,2,0.656400690478563,8,82
4,0.5646227703370118,3,12,0.5590481892391326,1.27,1,0.5531052875996965,7,96
0,0.9167768040827303,2,16,0.5494551078986178,0.88,2,0.43848773244814254,8,92
5,0.09704571771328918,0,18,0.44015294245051984,1.04,4,0.7623548375312111,2,84
0,0.15096345959270996,0,19,0.41430226506061196,1.01,5,0.3664540819693898,8,90
1,0.9194914891340292,4,8,0.8719762361214335,0.94,5,0.013360164883543413,10,84
9,0.2814194363328214,2,3,0.8744464876820076,0.97,4,0.06109039555428819,2,88
2,0.17143391467361846,0,13,0.547548013820955,0.76,3,0.9229983786664923,3,91
6,0.2562833129795832,5,13,0.1736258320689522,0.73,3,0.4249726127031791,1,90
2,0.9846068347993026,4,15,0.8533822405854133,1.18,4,0.8573710448179261,8,88
10,0.48687242458853686,0,15,0.3282268706993421,1.24,4,0.41434567410881873,2,100
9,0.6398759448896464,2,1,0.7089656185562903,0.86,5,0.8033566100063424,8,84
3,0.5784395607434055,5,13,0.30455018831192515,0.79,1,0.6720642590114342,5,81
3,0.12284096802358224,4,6,0.21551822710104107,1.17,3,0.05706506102406805,0,50
7,0.247848533767433,5,19,0.9288094346718226,1.0,1,0.0011424039799029506,6,90
6,0.3910453975721728,3,16,0.09152423738764004,1.22,5,0.11412584055611874,4,94
3,0.9003680038342147,3,16,0.01870750481583794,1.05,2,0.3176632587309678,10,96
1,0.359273138856106,3,6,0.7016877564754649,1.25,3,0.5786233453330697,2,98
1,0.21157132436311654,3,10,0.9188553497641334,0.97,5,0.45573920769670917,10,100
0,0.44228238624628335,4,15,0.670078863979896,0.95,1,0.7141536417705352,3,94
0,0.48291425934509646,5,5,0.7339304762124621,1.28,3,0.4535324473916992,10,80
1,0.9119206525684274,3,9,0.806022518938913,0.73,1,0.4921703559693369,0,99
8,0.9793565193673455,5,6,0.7843762781421848,1.11,4,0.2003459193173608,6,94
10,0.16850783207261366,1,2,0.0471493368476773,0.97,5,0.27015438653469814,3,88
3,0.6033131652288125,3,18,0.5158335191212353,0.99,0,0.8501139438097125,9,83
1,0.3726483534345887,4,1,0.3845091789257935,0.89,0,0.9300351627934952,4,50
10,0.856784246536611,0,0,0.9276035830187858,1.07,3,0.6497547165056404,6,89
5,0.6525220567066161,5,5,0.5905019080155774,0.96,5,0.18982145362181924,1,89
4,0.30971045498196126,4,2,0.8184108680248813,0.78,0,0.1888794453517877,0,50
0,0.9982071067059209,0,17,0.08196861149612211,1.17,5,0.1376054395251496,10,92
0,0.12547758411896603,0,1,0.9506454836833738,1.25,4,0.4953352184079993,6,50
0,0.3488077291060121,0,1,0.9952354446883035,0.82,1,0.6840804989147273,3,50
3,0.17578685253842719,0,7,0.10013756739485469,0.89,4,0.7743782824016214,2,50
1,0.2838797004342274,2,16,0.5984751157751642,0.98,5,0.7234861978938997,2,81
7,0.19852871160364804,1,7,0.017413699173949304,0.86,1,0.35148814308527687,2,50
5,0.3003609806755172,4,4,0.24847164802240918,0.91,4,0.9913292664169715,2,84
8,0.5183546292767048,1,9,0.9149631361928116,0.92,4,0.15551495986137687,5,93
6,0.6169799818920872,4,12,0.23116779117080266,0.97,1,0.5735302572573967,6,85
0,0.7104576523872512,2,20,0.5776626933272786,1.07,1,0.4845179436741639,3,98
0,0.652803399636273,2,19,0.22550006599772465,0.88,0,0.22270895702816962,7,90
10,0.27488793227181374,5,5,0.2680530174051954,0.75,1,0.3246884870609208,10,92
9,0.7548160685898802,4,7,0.8101044501339153,1.24,5,0.7729613380803096,3,98
5,0.502424550388881,0,11,0.5528952661221993,0.74,1,0.5393655315505633,10,99
1,0.5638149759172292,3,2,0.11822010079042211,0.87,5,0.37961437742861404,3,81
9,0.8740817233706717,2,17,0.3765007875067048,0.94,5,0.5463795667442709,10,100
5,0.038786893986588966,3,17,0.922893761975294,0.91,2,0.5426657608538968,3,98
10,0.5816584667216254,1,11,0.7727680045444434,1.03,1,0.37222310937523173,9,91
4,0.7044945723771817,2,9,0.19422352988690117,0.89,4,0.5769483047383197,10,85
5,0.9566991907122967,2,3,0.6015528085721283,1.11,2,0.07381680386677636,1,50
4,0.7966290825645517,3,17,0.461447915600235,0.76,2,0.9635562319021078,1,85
5,0.49738629362051157,5,9,0.013203643453014058,0.94,2,0.12594974246162904,7,92
0,0.9660409529579439,2,9,0.9415946194287956,0.77,0,0.06416393137690046,6,100
8,0.7580405427783358,0,14,0.6857709879363921,0.85,2,0.9647917555503297,1,92
8,0.9830094669617262,1,14,0.8432854454551652,0.91,1,0.4478333678743701,5,89
5,0.9127959336088266,2,13,0.24396926656688023,1.1,0,0.3633643480393878,1,89
6,0.3961202593833666,3,0,0.5541242169021944,1.18,1,0.54039497412885,4,100
6,0.49824672992017716,2,1,0.2880903029843884,0.92,4,0.9765793471283691,0,80
9,0.08654707712598686,2,7,0.9114590504086819,0.85,4,0.1515481067143124,0,98
10,0.7859195355397505,2,12,0.3845936911755252,0.73,1,0.2155328696069333,2,90
2,0.23580769572724947,3,8,0.3539754828498918,0.95,2,0.34726763519304304,2,50
6,0.8382729976435906,3,7,0.3585360012669483,1.29,1,0.10403753269280525,10,84
10,0.042964511133248284,4,12,0.6650774114108065,1.08,4,0.661367392453648,1,98
6,0.26088439624883386,5,5,0.5228486598446017,1.1,2,0.8253121600116603,5,97
4,0.5356134296911697,2,18,0.6307339784203568,1.07,0,0.027964763595398123,1,50
6,0.7238218142948615,0,2,0.6131502272162985,1.13,3,0.19854832854940918,7,92
3,0.2573450907863176,2,4,0.9378655013657774,1.25,2,0.11529742595500925,2,50
3,0.6564346026713308,2,5,0.31383304487632124,0.94,1,0.6308590501567406,6,95
5,0.7921707099569352,3,6,0.7115539505406079,0.89,4,0.3544617616557738,1,97
10,0.8752043197950191,0,10,0.042532803920730666,1.27,3,0.7396178273260279,6,88
2,0.9077216457229043,4,2,0.06991971536476405,1.16,5,0.39568697736712366,7,83
5,0.24847832092465183,5,2,0.15082191001340195,1.0,0,0.7571996926152216,2,50
6,0.585256894489237,0,19,0.5345901828207535,0.84,2,0.06635621514404377,2,89
5,0.5819436237508825,4,7,0.4046728372260463,0.9,3,0.63991257105915,6,92
8,0.6698058053922655,2,12,0.3840726831925908,0.89,1,0.049653492833437896,8,84
3,0.5296858374009717,2,5,0.7083379753910845,0.94,3,0.06759402966417538,2,50
5,0.4183486670214662,5,6,0.7689028969464865,1.05,4,0.30391357109738093,4,82
10,0.25100611657921257,3,11,0.40975220107685584,0.98,3,0.5662330677476143,3,85
2,0.4308160142644111,4,3,0.835130509614655,1.27,3,0.7472430519394669,7,94
7,0.1873787321636724,3,4,0.02655392932556455,0.92,0,0.25560513828564035,4,50
7,0.4233632004218245,3,9,0.6738664527361514,0.87,3,0.7812340198409248,1,93
0,0.36782066452258777,1,4,0.023933166111208104,1.06,3,0.13774993574253314,4,50
5,0.27665007455242374,2,15,0.02017158461040469,1.08,0,0.8454749400885601,7,97
1,0.4104948837721297,3,20,0.23634913171061167,1.15,5,0.3356536616232382,3,97
7,0.8407364108324883,5,9,0.6751467545482256,0.94,5,0.9151384974904558,3,100
10,0.897757426602556,4,3,0.6081905734127987,0.99,4,0.5586810260977465,8,80
10,0.156076234560521,3,2,0.013078846803126432,0.84,1,0.871183213879783,5,88
2,0.6055009062182367,2,12,0.17782336722103087,0.95,5,0.07460874138264095,10,91
8,0.0597785749635531,2,3,0.7573332309179795,1.02,2,0.3205060216436423,8,89
5,0.7866423789251973,2,0,0.043221329880108295,0.99,4,0.22142931494307605,9,91
2,0.07686844270904392,2,17,0.38795263577935757,1.29,3,0.5104153225356637,2,99
1,0.02848359623887131,4,7,0.67289512815423,0.91,2,0.5434392679375084,8,89
9,0.05756328945951883,2,10,0.11953734710937669,1.16,3,0.19407440731127268,3,90
5,0.2642193766252996,3,7,0.7304353914041143,0.98,5,0.1349286569389364,6,85
6,0.5284102898296849,0,7,0.5865606743416856,1.28,4,0.4413864751376504,3,88
5,0.7473455255621798,4,7,0.8261927570932236,0.97,3,0.6021518713568569,0,98
9,0.1127821427852348,2,2,0.4593630747180074,1.1,0,0.5698201529183147,5,50
2,0.7430642711797583,4,1,0.17987696018793087,1.23,3,0.9306274730487947,4,94
6,0.0023486438738796744,5,17,0.537482716897151,1.11,2,0.1316168438219968,5,92
4,0.1316073260479057,3,0,0.1445008252959592,0.94,3,0.7250209201782573,6,97
7,0.30101450907815464,5,11,0.8212477566138129,1.26,3,0.6031842450581139,0,82
1,0.8127761915070283,0,19,0.5216895632365491,0.78,2,0.3323018082299445,3,92
9,0.7729109634365515,3,20,0.30182190346255944,1.2,4,0.13476152784070794,7,81
0,0.25472179570536,2,1,0.3002817514794064,1.06,0,0.5605846911354373,7,50
8,0.4078385360819303,3,19,0.8656313901926314,1.01,4,0.8506331807524916,8,91
6,0.26755010612576413,5,2,0.4489340717267457,1.02,1,0.5679057486487896,4,81
1,0.6763066996821786,1,13,0.5258466206023583,0.86,2,0.38959492779326166,2,89
4,0.4249498379993618,1,17,0.3655286010113896,1.13,3,0.5090797664242511,3,84
1,0.33598432622934393,0,6,0.8164890020406674,1.13,2,0.9119364353172266,7,100
6,0.8572808392631578,1,1,0.7287204656624063,0.76,5,0.7325967788209362,0,87
0,0.5758642167633731,1,3,0.1008422796033307,0.87,1,0.7419791643031697,2,50
9,0.5705256353415706,1,10,0.6877634545511333,0.75,1,0.9650185553449994,8,81
9,0.35096761134301147,3,6,0.4826085845939947,1.21,5,0.48863440557166826,6,83
10,0.7083026089867884,2,7,0.9856738302838228,0.9,4,0.9642327746131705,7,81
1,0.6972922507071684,4,16,0.31282393154584576,1.2,0,0.019266479851331342,7,96
8,0.6435798098260431,3,16,0.627423026057865,0.8,0,0.03529522423870857,10,85
9,0.734523672590831,5,2,0.5681805060338309,0.72,5,0.26367194917018744,2,82
6,0.867198135707001,3,14,0.5548886264083402,1.16,3,0.057550277375020054,8,84
10,0.9425807853940722,3,14,0.14602326508547758,0.72,2,0.6644537461648684,2,97
8,0.9662213686216042,1,0,0.5337277016186116,1.01,2,0.0006967542401972171,9,88
6,0.15717783622869463,5,2,0.7881137454781836,1.07,2,0.1869366290160015,9,95
3,0.08855071792226066,4,4,0.3797644142438935,0.85,1,0.7816253629930464,5,100
6,0.0011096060644761874,0,17,0.18243751685535403,0.89,4,0.8238170461657754,3,96
5,0.5816175845926349,4,9,0.8548192552527392,1.24,5,0.49494056069903136,3,88
0,0.8506321952142784,1,7,0.7407174601364883,0.72,4,0.5922168795304229,3,93
4,0.2709512662908108,2,16,0.7223110627289504,0.94,3,0.8514366160573096,0,89
4,0.6959814185809887,2,13,0.17911859265611296,1.26,4,0.4719133957012306,1,98
6,0.06235719371411874,4,3,0.897431293616422,1.03,4,0.3672427398554925,0,85
10,0.17270008952873672,5,1,0.0909772748268306,0.71,1,0.2983007002156479,4,93
9,0.28097454393682486,0,3,0.7343175483568459,0.82,5,0.1390026974969324,3,82
10,0.2905736005131144,0,18,0.5043157696230373,1.12,1,0.3055344180741152,3,84
2,0.6047609245247121,0,20,0.8492168070971108,1.19,4,0.34164296071030664,10,89
1,0.5173364499821884,2,8,0.3690222948550549,1.04,1,0.7668705952518212,7,83
5,0.4901545788022481,2,18,0.17467206737576924,1.03,3,0.7943172597938721,1,99
0,0.5046753127327052,2,4,0.6450001970936383,1.17,0,0.038814566386777716,6,50
4,0.20426090583532364,2,12,0.8943363205462561,0.95,3,0.8795214521244137,9,95
9,0.6783330391258078,1,6,0.922820413365075,1.05,0,0.06889087559888529,9,96
6,0.3122687685000083,1,2,0.6595676876299655,1.14,4,0.22731541656106968,1,50
0,0.9903631487639867,3,10,0.8928982268584402,0.78,2,0.7067829534243679,10,84
9,0.07350755724931501,2,2,0.9540343338741779,1.07,3,0.49602040489654375,7,86
2,0.43452294881395104,4,9,0.47991761305363434,1.01,1,0.2698452949697804,5,83
6,0.6099830690454343,4,6,0.05452233556835284,1.05,3,0.7348652776480911,6,82
0,0.1356250603295982,1,19,0.7286855073357821,1.25,0,0.9589138859049593,3,90
5,0.040548937628649195,4,18,0.8516721272021295,1.19,2,0.713161416063369,9,80
2,0.5139384167105716,2,13,0.08846922050768236,0.74,3,0.05485415862312115,6,88
