failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score,machine_id
Mechanical,Deterioration,0.04,1,17,26.12,23
Software,Environment,7.1,5,2,76.95,1
Electrical,Deterioration,2.54,1,12,36.78,2
Hydraulic,Deterioration,6.36,1,16,55.93,3
Mechanical,Environment,7.38,2,12,52.82,4
Electrical,Operator,5.89,1,6,56.95,5
Mechanical,Operator,4.53,5,11,65.39,6
Electrical,Deterioration,3.34,4,0,60.93,7
Electrical,Deterioration,0.18,4,3,52.31,8
Electrical,Operator,2.59,3,8,53.31,9
Hydraulic,Environment,3.45,4,5,62.49,10
Electrical,Environment,2.18,4,4,58.61,11
Mechanical,Deterioration,2.6,3,19,51.82,12
Electrical,Deterioration,4.15,2,7,46.67,13
Software,Deterioration,0.87,5,13,46.12,14
Software,Environment,1.48,5,14,46.36,15
Software,Operator,4.93,4,21,73.49,16
Electrical,Environment,1.39,5,15,52.89,17
Electrical,Operator,2.55,3,6,57.85,18
Mechanical,Environment,4.22,2,3,53.79,19
Software,Environment,0.51,4,16,40.42,20
Electrical,Deterioration,9.08,3,21,90.0,21
Electrical,Environment,1.19,3,20,46.12,22
Hydraulic,Environment,9.48,1,15,57.68,23
Hydraulic,Deterioration,2.64,1,7,34.66,1
Hydraulic,Operator,7.8,3,20,78.87,2
Hydraulic,Deterioration,6.88,3,22,63.86,3
Software,Deterioration,4.28,4,15,61.04,4
Hydraulic,Environment,1.87,2,13,36.84,5
Mechanical,Environment,9.65,1,0,65.94,6
Software,Environment,9.45,1,15,55.79,7
Hydraulic,Deterioration,8.63,4,8,72.64,8
Hydraulic,Operator,6.98,3,4,83.04,9
Mechanical,Operator,7.0,1,1,59.86,10
Hydraulic,Environment,6.04,5,21,81.61,11
Software,Environment,3.73,1,22,38.14,12
Electrical,Deterioration,5.13,3,8,53.24,13
Hydraulic,Deterioration,8.24,2,15,51.17,14
Mechanical,Environment,7.59,5,9,66.95,15
Electrical,Operator,6.57,1,16,50.66,16
Mechanical,Operator,7.95,3,13,68.92,17
Hydraulic,Operator,7.44,5,17,87.56,18
Software,Environment,4.29,1,5,44.28,19
Hydraulic,Deterioration,7.98,4,19,64.93,20
Hydraulic,Deterioration,9.37,3,12,72.55,21
Hydraulic,Operator,6.83,1,13,58.03,22
Hydraulic,Operator,4.9,5,6,74.76,23
Electrical,Deterioration,0.65,1,8,36.28,1
Software,Environment,3.14,4,6,61.97,2
Hydraulic,Deterioration,0.81,5,20,68.88,3
Mechanical,Deterioration,3.56,2,4,54.86,4
Mechanical,Operator,8.31,3,15,67.15,5
Mechanical,Environment,4.21,1,18,36.0,6
Mechanical,Deterioration,2.54,1,20,36.45,7
Software,Operator,0.66,5,6,54.95,8
Hydraulic,Operator,3.53,3,3,63.44,9
Software,Operator,1.35,3,15,51.57,10
Electrical,Deterioration,9.07,3,2,73.36,11
Hydraulic,Operator,3.4,3,8,51.52,12
Mechanical,Operator,9.67,4,6,90.0,13
Mechanical,Environment,1.54,1,17,20.88,14
Electrical,Deterioration,4.18,2,3,58.47,15
Hydraulic,Deterioration,4.91,1,22,53.12,16
Software,Environment,9.61,2,2,64.6,17
Software,Operator,0.54,4,19,40.78,18
Software,Environment,6.24,4,6,78.24,19
Mechanical,Environment,6.96,3,19,69.58,20
Software,Operator,1.84,4,9,59.2,21
Hydraulic,Environment,3.57,4,23,53.76,22
Electrical,Environment,8.28,5,21,82.21,23
Hydraulic,Deterioration,6.7,5,7,76.92,1
Software,Operator,1.97,3,9,52.92,2
Hydraulic,Environment,9.14,4,19,72.94,3
Electrical,Environment,7.41,2,8,51.08,4
Software,Environment,9.41,3,6,76.75,5
Hydraulic,Operator,8.44,3,20,75.45,6
Hydraulic,Operator,7.23,4,8,65.78,7
Electrical,Environment,9.98,2,11,56.38,8
Mechanical,Operator,5.13,1,16,54.98,9
Software,Deterioration,7.01,1,6,63.45,10
Electrical,Deterioration,0.12,2,10,25.33,11
Software,Deterioration,4.02,4,6,62.75,12
Electrical,Operator,5.64,1,15,44.57,13
Electrical,Environment,9.31,5,9,84.08,14
Electrical,Deterioration,3.49,4,12,60.17,15
Hydraulic,Environment,8.35,3,7,56.34,16
Electrical,Operator,2.9,2,9,37.62,17
Electrical,Environment,4.21,1,20,50.3,18
Mechanical,Deterioration,2.85,1,0,48.07,19
Hydraulic,Deterioration,6.38,2,13,50.29,20
Software,Environment,0.27,5,10,31.81,21
Hydraulic,Environment,5.68,2,23,54.62,22
Mechanical,Environment,1.1,3,4,40.28,23
Mechanical,Operator,1.3,1,7,36.57,1
Electrical,Deterioration,2.21,1,3,48.56,2
Electrical,Environment,2.56,2,3,47.58,3
Hydraulic,Operator,6.85,4,20,87.99,4
Mechanical,Environment,8.84,5,23,90.0,5
Mechanical,Deterioration,4.62,1,19,51.0,6
Mechanical,Environment,7.84,1,6,53.34,7
Software,Environment,8.89,3,22,79.04,8
Electrical,Operator,6.39,3,4,74.13,9
Hydraulic,Environment,5.66,3,15,60.41,10
Hydraulic,Operator,2.88,3,22,50.88,11
Electrical,Operator,7.08,3,8,68.18,12
Electrical,Environment,4.06,5,8,67.57,13
Software,Deterioration,2.24,2,23,37.14,14
Hydraulic,Deterioration,0.71,3,19,37.46,15
Software,Environment,8.01,1,8,39.82,16
Mechanical,Operator,7.67,3,2,90.0,17
Mechanical,Environment,4.28,4,10,65.37,18
Electrical,Operator,1.1,2,4,54.5,19
Mechanical,Operator,6.15,4,22,88.11,20
Electrical,Deterioration,2.44,3,17,38.82,21
Mechanical,Environment,2.33,5,3,72.95,22
Mechanical,Operator,3.25,1,14,47.01,23
Hydraulic,Operator,9.29,1,5,72.68,1
Software,Deterioration,6.2,4,3,75.28,2
Software,Environment,0.23,5,15,38.02,3
Hydraulic,Deterioration,2.3,3,14,38.12,4
Electrical,Environment,6.11,5,0,74.8,5
Mechanical,Operator,3.02,3,14,52.95,6
Mechanical,Operator,5.12,5,20,84.62,7
Electrical,Deterioration,4.77,2,21,62.83,8
Software,Environment,1.84,2,12,27.47,9
Software,Environment,4.64,4,21,61.79,10
Mechanical,Environment,5.56,5,2,79.19,11
Software,Environment,0.24,5,23,42.54,12
Mechanical,Environment,7.83,2,21,76.62,13
Software,Operator,8.63,2,2,81.3,14
Electrical,Deterioration,1.14,5,4,56.44,15
Hydraulic,Operator,6.57,5,9,82.01,16
Software,Deterioration,6.27,1,10,45.85,17
Electrical,Environment,0.97,4,23,48.0,18
Mechanical,Operator,1.87,3,0,67.86,19
Electrical,Operator,0.26,1,10,29.4,20
Hydraulic,Operator,0.67,3,20,55.01,21
Electrical,Deterioration,1.91,3,22,49.04,22
Mechanical,Operator,6.3,4,8,70.12,23
Mechanical,Environment,5.26,1,7,42.79,1
Mechanical,Operator,6.16,5,4,84.15,2
Electrical,Deterioration,7.61,5,4,88.47,3
Hydraulic,Operator,9.46,2,0,77.37,4
Hydraulic,Operator,7.7,5,13,81.55,5
Software,Environment,1.36,1,14,16.93,6
Software,Operator,0.72,4,9,38.62,7
Software,Operator,0.05,5,22,58.02,8
Electrical,Operator,1.28,1,11,30.46,9
Hydraulic,Environment,7.59,5,23,78.89,10
Hydraulic,Operator,6.63,5,18,73.24,11
Mechanical,Operator,2.0,5,21,80.8,12
Mechanical,Environment,1.22,5,0,65.34,13
Hydraulic,Operator,5.06,5,23,90.0,14
Electrical,Operator,2.97,2,9,56.59,15
Electrical,Deterioration,7.04,5,9,79.3,16
Software,Operator,4.14,5,11,70.6,17
Electrical,Operator,8.23,5,10,80.28,18
Electrical,Operator,9.49,3,4,87.57,19
Electrical,Deterioration,2.15,3,13,37.63,20
Software,Environment,3.55,5,10,55.45,21
Hydraulic,Operator,4.43,4,13,58.22,22
Mechanical,Deterioration,3.16,1,0,43.56,23
Software,Environment,9.05,2,3,62.43,1
Electrical,Deterioration,3.65,3,17,43.65,2
Software,Operator,7.98,5,19,81.48,3
Hydraulic,Operator,2.59,3,7,56.55,4
Hydraulic,Deterioration,1.2,1,14,29.59,5
Mechanical,Operator,3.87,3,23,78.39,6
Mechanical,Operator,9.54,1,10,61.19,7
Software,Operator,2.4,4,3,63.08,8
Mechanical,Deterioration,7.32,3,20,78.61,9
Software,Deterioration,2.01,1,11,37.96,10
Mechanical,Environment,8.53,4,9,70.75,11
Software,Deterioration,5.02,5,1,81.02,12
Hydraulic,Deterioration,1.53,3,18,48.53,13
Hydraulic,Operator,0.62,3,9,44.65,14
Mechanical,Deterioration,2.73,2,16,34.21,15
Hydraulic,Deterioration,7.25,3,7,57.28,16
Hydraulic,Deterioration,1.78,4,10,51.46,17
Mechanical,Deterioration,7.27,1,12,59.37,18
Electrical,Operator,9.41,2,4,84.11,19
Hydraulic,Deterioration,6.54,2,19,58.62,20
Electrical,Environment,4.36,1,6,43.92,21
Software,Operator,6.99,5,1,81.55,22
Hydraulic,Operator,9.33,5,9,83.86,23
Electrical,Operator,8.81,3,15,74.51,1
Software,Environment,0.5,2,12,17.37,2
Hydraulic,Deterioration,2.68,1,22,42.1,3
Software,Deterioration,8.11,3,8,66.37,4
Mechanical,Environment,5.15,1,6,55.28,5
Software,Deterioration,1.65,2,18,31.72,6
Electrical,Operator,5.7,4,11,61.59,7
Mechanical,Operator,4.16,4,16,72.95,8
Software,Deterioration,7.09,3,1,75.12,9
Electrical,Operator,6.87,5,5,90.0,10
Mechanical,Environment,2.39,4,11,49.68,11
Electrical,Environment,5.51,4,15,54.78,12
Software,Operator,4.49,1,13,42.51,13
Electrical,Operator,1.37,3,7,55.38,14
Electrical,Deterioration,0.36,2,15,25.17,15
Electrical,Deterioration,0.58,3,12,35.53,16
Hydraulic,Environment,5.08,2,23,55.71,17
Software,Deterioration,9.91,1,18,51.8,18
Hydraulic,Deterioration,7.84,5,18,71.83,19
Electrical,Deterioration,0.43,1,20,30.23,20
Mechanical,Operator,6.64,5,15,83.14,21
Mechanical,Environment,5.33,5,4,77.54,22
Hydraulic,Environment,2.58,3,2,43.45,23
Mechanical,Deterioration,3.19,3,9,59.98,1
Hydraulic,Deterioration,5.11,5,1,73.21,2
Hydraulic,Operator,3.86,4,18,67.25,3
Mechanical,Deterioration,4.94,1,14,37.97,4
Mechanical,Environment,4.04,2,11,50.75,5
Electrical,Operator,2.46,5,6,67.21,6
Software,Deterioration,2.54,3,5,50.01,7
Hydraulic,Deterioration,9.48,4,2,80.52,8
Software,Deterioration,3.9,5,5,61.46,9
Mechanical,Operator,6.07,4,7,70.18,10
Hydraulic,Environment,3.49,2,9,42.2,11
Electrical,Operator,7.47,2,15,73.53,12
Hydraulic,Deterioration,6.78,3,15,53.15,13
Electrical,Deterioration,7.33,4,23,78.1,14
Electrical,Environment,4.73,2,4,50.64,15
Electrical,Operator,9.75,2,22,90.0,16
Mechanical,Environment,8.53,2,12,62.65,17
Software,Operator,5.21,3,15,55.78,18
Electrical,Environment,0.38,1,2,25.33,19
Software,Deterioration,3.66,3,16,40.72,20
Electrical,Environment,5.42,2,18,41.91,21
Electrical,Operator,0.18,4,23,59.13,22
Electrical,Deterioration,3.1,1,10,41.8,23
Hydraulic,Deterioration,8.32,1,20,56.8,1
Hydraulic,Environment,2.81,3,8,39.95,2
Hydraulic,Operator,0.07,1,23,37.13,3
Mechanical,Deterioration,5.67,1,22,53.11,4
Mechanical,Deterioration,6.94,3,3,76.22,5
Hydraulic,Deterioration,8.52,3,5,75.59,6
Software,Deterioration,3.4,1,13,36.72,7
Electrical,Deterioration,3.62,5,7,55.45,8
Software,Deterioration,1.58,1,11,26.16,9
Software,Deterioration,2.08,4,9,42.52,10
Software,Operator,6.69,3,6,72.66,11
Mechanical,Operator,3.74,3,12,55.36,12
Electrical,Operator,7.23,1,18,61.5,13
Electrical,Operator,7.48,3,16,78.91,14
Software,Operator,6.79,1,20,53.34,15
Software,Environment,5.41,3,16,43.29,16
Mechanical,Environment,5.88,5,20,70.07,17
Mechanical,Environment,9.14,1,21,77.32,18
Electrical,Operator,7.06,2,18,70.34,19
Mechanical,Environment,5.63,2,3,55.37,20
Electrical,Operator,0.25,3,7,39.9,21
Mechanical,Operator,5.66,3,0,65.83,22
Mechanical,Deterioration,8.53,2,16,56.74,23
Mechanical,Operator,4.39,4,4,76.54,1
Software,Environment,5.74,3,3,66.05,2
Hydraulic,Environment,1.97,2,12,38.71,3
Mechanical,Environment,5.29,3,23,56.22,4
Mechanical,Operator,4.97,4,22,78.09,5
Electrical,Environment,7.43,3,8,66.96,6
Mechanical,Environment,2.21,1,17,30.67,7
Software,Deterioration,4.28,5,23,66.72,8
Electrical,Environment,6.41,1,10,45.23,9
Electrical,Operator,9.13,4,0,85.15,10
Software,Environment,3.53,1,1,35.91,11
Electrical,Deterioration,7.96,5,10,73.99,12
Hydraulic,Environment,0.26,4,6,48.86,13
Software,Deterioration,6.88,2,21,55.84,14
Software,Deterioration,6.07,5,3,78.17,15
Mechanical,Operator,0.31,1,2,47.87,16
Hydraulic,Environment,5.54,4,13,55.86,17
Software,Operator,7.72,2,4,80.13,18
Hydraulic,Deterioration,1.01,4,19,49.37,19
Software,Environment,1.16,4,15,44.07,20
Electrical,Environment,2.99,3,8,39.96,21
Mechanical,Environment,9.31,1,8,56.52,22
Electrical,Deterioration,0.69,5,1,61.23,23
Electrical,Environment,1.95,2,2,37.88,1
Mechanical,Operator,6.52,3,15,76.45,2
Electrical,Deterioration,2.73,5,1,74.25,3
Electrical,Environment,1.84,5,8,56.29,4
Mechanical,Deterioration,5.77,4,12,61.48,5
Hydraulic,Environment,2.91,1,6,32.23,6
Hydraulic,Deterioration,6.91,3,14,69.44,7
Software,Operator,8.3,4,6,90.0,8
Software,Environment,2.7,1,11,18.96,9
Hydraulic,Deterioration,3.15,2,22,59.13,10
Electrical,Operator,6.7,3,6,87.5,11
Hydraulic,Operator,1.01,3,16,33.19,12
Mechanical,Environment,8.91,2,20,81.49,13
Mechanical,Operator,7.2,5,9,74.31,14
Hydraulic,Operator,3.32,4,6,69.93,15
Software,Deterioration,5.36,2,19,44.22,16
Electrical,Deterioration,1.6,5,10,62.76,17
Electrical,Environment,4.73,4,20,68.09,18
Software,Environment,4.83,5,19,58.63,19
Electrical,Deterioration,2.08,5,21,74.35,20
Electrical,Deterioration,4.83,2,4,64.76,21
Mechanical,Environment,7.57,4,5,82.83,22
Software,Operator,5.76,4,15,71.53,23
Mechanical,Deterioration,4.93,3,9,61.81,1
Hydraulic,Operator,6.24,3,19,61.08,2
Electrical,Environment,0.66,5,18,43.33,3
Mechanical,Operator,8.94,4,8,78.97,4
Software,Environment,8.13,1,15,56.9,5
Mechanical,Environment,5.26,4,17,55.27,6
Electrical,Operator,7.13,2,7,59.07,7
Hydraulic,Operator,2.97,5,6,70.12,8
Electrical,Deterioration,5.23,4,21,77.15,9
Software,Environment,6.43,3,19,45.42,10
Software,Operator,5.05,4,0,80.21,11
Electrical,Deterioration,8.21,5,17,76.66,12
Mechanical,Deterioration,4.07,1,12,45.35,13
Software,Deterioration,6.52,3,9,61.91,14
Software,Deterioration,0.99,3,12,34.91,15
Software,Operator,8.8,1,3,69.07,16
Electrical,Deterioration,0.6,1,7,19.06,17
Electrical,Operator,8.92,4,0,87.43,18
Mechanical,Environment,9.64,5,9,84.48,19
Electrical,Environment,0.74,5,21,58.02,20
Mechanical,Deterioration,9.98,5,1,90.0,21
Mechanical,Deterioration,3.75,4,9,60.8,22
Mechanical,Operator,0.38,3,18,40.49,23
Electrical,Operator,7.58,5,8,76.14,1
Software,Deterioration,0.68,5,16,41.27,2
Mechanical,Environment,8.67,5,7,78.99,3
Software,Operator,6.04,2,3,67.31,4
Hydraulic,Operator,9.97,1,10,66.1,5
Software,Operator,8.84,5,1,86.04,6
Software,Deterioration,6.05,2,12,49.91,7
Software,Operator,2.44,4,21,65.26,8
Hydraulic,Operator,4.71,5,0,73.15,9
Electrical,Operator,7.43,4,9,81.21,10
Mechanical,Environment,5.57,3,2,61.49,11
Electrical,Operator,5.44,2,18,62.58,12
Mechanical,Deterioration,7.05,3,15,74.76,13
Electrical,Deterioration,2.73,2,14,31.27,14
Electrical,Operator,5.69,3,0,73.29,15
Hydraulic,Deterioration,4.11,2,2,61.43,16
Mechanical,Operator,4.68,5,7,68.82,17
Mechanical,Environment,7.21,1,17,49.51,18
Hydraulic,Deterioration,9.57,3,22,81.39,19
Software,Environment,9.85,5,10,86.69,20
Hydraulic,Environment,3.22,1,11,34.68,21
Hydraulic,Operator,1.02,3,0,58.14,22
Software,Deterioration,7.38,2,11,56.81,23
Software,Operator,7.77,5,11,84.44,1
Electrical,Environment,2.54,5,11,59.57,2
Mechanical,Deterioration,4.33,3,11,57.89,3
Software,Operator,4.17,3,9,49.18,4
Software,Environment,1.75,3,18,33.27,5
Hydraulic,Deterioration,3.42,5,8,53.35,6
Hydraulic,Environment,7.81,3,6,73.88,7
Hydraulic,Environment,2.3,3,1,53.51,8
Electrical,Operator,4.29,4,16,72.01,9
Mechanical,Operator,7.92,3,9,73.83,10
Electrical,Operator,0.89,2,4,55.63,11
Software,Deterioration,5.45,1,23,58.23,12
Mechanical,Environment,6.5,5,11,79.82,13
Mechanical,Operator,6.46,5,0,85.02,14
Hydraulic,Deterioration,9.66,2,15,73.56,15
Mechanical,Deterioration,7.78,1,11,60.17,16
Electrical,Deterioration,9.58,3,22,84.58,17
Hydraulic,Operator,0.84,1,7,24.32,18
Mechanical,Deterioration,1.08,4,10,42.87,19
Software,Operator,7.1,4,22,90.0,20
Electrical,Operator,8.94,3,6,90.0,21
Hydraulic,Deterioration,7.14,1,15,54.5,22
Software,Operator,1.41,1,21,40.73,23
Mechanical,Deterioration,3.28,5,6,70.85,1
Mechanical,Operator,6.55,5,13,76.19,2
Mechanical,Deterioration,8.55,1,20,61.09,3
Software,Operator,1.18,5,1,58.7,4
Electrical,Deterioration,8.88,1,5,73.2,5
Mechanical,Environment,2.39,3,5,57.51,6
Software,Deterioration,1.14,4,2,53.35,7
Software,Deterioration,4.86,5,11,64.15,8
Electrical,Deterioration,0.07,2,20,35.35,9
Mechanical,Operator,8.65,3,14,68.51,10
Mechanical,Environment,2.17,1,22,41.33,11
Software,Operator,3.25,3,18,49.93,12
Hydraulic,Environment,0.29,5,12,34.23,13
Mechanical,Environment,1.63,1,4,28.95,14
Electrical,Operator,8.51,3,13,78.92,15
Hydraulic,Environment,4.24,5,11,53.12,16
Hydraulic,Operator,6.91,2,20,61.55,17
Electrical,Operator,4.96,2,18,49.31,18
Mechanical,Operator,1.47,5,21,73.42,19
Mechanical,Deterioration,7.67,1,22,73.64,20
Mechanical,Deterioration,2.35,1,5,47.97,21
Hydraulic,Operator,5.15,4,2,73.64,22
Software,Deterioration,8.32,5,19,78.74,23
Electrical,Deterioration,0.67,2,8,29.62,1
Hydraulic,Operator,0.5,5,11,51.92,2
Software,Environment,5.2,3,21,66.09,3
Hydraulic,Environment,8.16,2,11,59.02,4
Mechanical,Operator,7.91,2,20,87.21,5
Software,Environment,6.73,4,20,73.54,6
Software,Environment,9.02,1,4,62.21,7
Hydraulic,Environment,9.17,1,16,44.59,8
Electrical,Operator,0.62,4,12,49.6,9
Hydraulic,Operator,5.0,2,3,58.87,10
Software,Operator,3.45,1,21,59.38,11
Software,Operator,7.82,5,18,75.86,12
Software,Environment,6.58,2,6,67.83,13
Hydraulic,Deterioration,7.99,5,17,73.88,14
Software,Deterioration,0.57,3,1,50.46,15
Electrical,Operator,9.64,3,1,90.0,16
Software,Operator,7.08,3,14,60.92,17
Mechanical,Operator,7.09,4,20,87.27,18
Electrical,Deterioration,9.22,2,18,63.71,19
Software,Operator,0.9,3,4,58.02,20
Mechanical,Environment,6.44,2,14,55.52,21
Software,Operator,0.14,1,7,18.78,22
Electrical,Operator,5.63,1,3,55.4,23
Electrical,Deterioration,6.97,3,3,76.07,1
Mechanical,Environment,5.13,4,13,56.73,2
Software,Environment,6.23,4,17,60.63,3
Hydraulic,Environment,6.85,2,0,62.08,4
Mechanical,Environment,2.86,4,21,57.3,5
Hydraulic,Operator,0.62,2,0,38.26,6
Electrical,Deterioration,0.68,1,17,24.78,7
Hydraulic,Operator,1.87,2,23,53.08,8
Software,Environment,4.01,4,23,67.1,9
Software,Environment,9.79,2,20,74.85,10
Electrical,Environment,2.8,2,15,42.91,11
Hydraulic,Deterioration,2.23,2,23,42.1,12
Hydraulic,Environment,6.67,1,3,53.42,13
Mechanical,Operator,7.7,1,7,66.77,14
Electrical,Operator,2.96,4,10,59.69,15
Electrical,Environment,8.22,2,14,61.82,16
Hydraulic,Operator,5.27,4,4,74.71,17
Hydraulic,Environment,3.9,5,16,65.14,18
Mechanical,Deterioration,7.76,4,5,88.9,19
Mechanical,Deterioration,0.87,4,12,51.81,20
Electrical,Deterioration,4.08,4,11,61.08,21
Mechanical,Deterioration,3.47,1,3,48.5,22
Electrical,Operator,4.83,5,22,79.36,23
Software,Environment,2.26,3,9,32.97,1
Hydraulic,Environment,2.75,5,4,64.69,2
Software,Deterioration,6.44,2,17,59.1,3
Software,Operator,2.79,5,4,69.67,4
Hydraulic,Deterioration,0.01,3,5,50.44,5
Electrical,Deterioration,0.75,2,23,40.83,6
Software,Operator,1.77,4,21,53.14,7
Hydraulic,Environment,0.56,1,18,12.67,8
Electrical,Environment,5.03,3,0,52.07,9
Software,Environment,6.99,5,10,62.26,10
Software,Environment,8.35,4,22,79.0,11
Electrical,Operator,2.78,3,12,60.2,12
Electrical,Operator,3.02,1,3,45.91,13
Mechanical,Environment,1.33,5,18,51.21,14
Software,Environment,0.59,1,7,11.53,15
Electrical,Deterioration,4.83,3,19,47.53,16
Mechanical,Environment,7.3,3,16,52.59,17
Hydraulic,Deterioration,1.94,2,12,28.4,18
Electrical,Deterioration,0.48,1,12,16.77,19
Electrical,Deterioration,8.35,3,2,83.94,20
Software,Deterioration,0.46,2,1,47.06,21
Electrical,Operator,1.31,2,5,49.56,22
Software,Operator,0.73,5,4,71.41,23
Software,Operator,6.3,2,1,73.17,1
Hydraulic,Environment,7.37,1,20,55.33,2
Electrical,Environment,5.06,5,19,72.39,3
Hydraulic,Deterioration,9.66,4,2,90.0,4
Hydraulic,Deterioration,3.14,1,22,36.07,5
Mechanical,Deterioration,9.17,4,20,90.0,6
Software,Environment,3.01,4,14,36.39,7
Mechanical,Environment,2.53,5,8,64.51,8
Mechanical,Deterioration,9.01,2,3,77.79,9
Electrical,Deterioration,8.57,2,8,56.17,10
Software,Operator,4.81,2,13,53.42,11
Electrical,Operator,3.55,3,5,66.03,12
Hydraulic,Deterioration,8.67,4,3,77.45,13
Hydraulic,Deterioration,2.86,4,12,57.24,14
Electrical,Operator,5.39,3,4,62.67,15
Electrical,Operator,5.36,3,1,72.43,16
Software,Environment,4.65,4,10,55.76,17
Hydraulic,Environment,6.36,2,7,49.71,18
Hydraulic,Operator,6.5,2,22,73.95,19
Hydraulic,Environment,3.6,5,6,60.53,20
Software,Operator,8.2,5,6,90.0,21
Electrical,Deterioration,3.07,3,19,45.71,22
Hydraulic,Environment,8.4,1,19,57.25,23
Mechanical,Operator,6.94,1,22,77.63,1
Hydraulic,Deterioration,4.02,4,18,46.34,2
Mechanical,Environment,8.5,5,18,77.66,3
Mechanical,Environment,9.94,3,9,77.22,4
Electrical,Environment,9.15,1,0,63.76,5
Software,Operator,3.51,1,6,41.89,6
Electrical,Operator,6.88,5,17,87.79,7
Mechanical,Deterioration,9.88,3,18,68.42,8
Hydraulic,Environment,8.85,5,2,90.0,9
Electrical,Deterioration,4.32,4,5,70.77,10
Electrical,Deterioration,1.88,4,13,57.13,11
Electrical,Deterioration,8.3,5,7,89.73,12
Electrical,Operator,0.66,3,4,53.89,13
Software,Deterioration,1.52,3,2,54.82,14
Hydraulic,Operator,3.29,1,7,36.33,15
Electrical,Deterioration,3.14,2,18,34.64,16
Hydraulic,Deterioration,1.08,5,23,68.09,17
Electrical,Environment,5.49,1,5,50.52,18
Electrical,Environment,0.28,1,5,33.75,19
Hydraulic,Operator,4.27,5,1,68.33,20
Mechanical,Operator,7.13,1,14,53.42,21
Hydraulic,Operator,7.59,1,10,53.49,22
Hydraulic,Operator,8.9,1,3,74.4,23
Mechanical,Deterioration,9.15,2,17,68.56,1
Hydraulic,Operator,4.36,4,6,68.12,2
Software,Environment,6.58,1,7,32.53,3
Electrical,Deterioration,0.35,2,7,36.28,4
Mechanical,Deterioration,2.68,2,3,44.42,5
Electrical,Environment,4.32,4,11,58.94,6
Software,Environment,9.01,4,21,72.52,7
Mechanical,Deterioration,8.95,4,7,77.95,8
Mechanical,Deterioration,0.49,4,22,60.88,9
Hydraulic,Deterioration,1.92,4,13,53.31,10
Electrical,Operator,6.85,2,0,65.99,11
Mechanical,Environment,5.08,2,21,54.22,12
Electrical,Deterioration,5.71,2,20,66.65,13
Software,Deterioration,0.75,2,21,38.43,14
Electrical,Environment,3.24,1,7,39.56,15
Mechanical,Deterioration,8.0,3,1,87.54,16
Hydraulic,Deterioration,3.21,5,10,66.15,17
Mechanical,Deterioration,8.45,4,7,78.52,18
Hydraulic,Deterioration,5.27,1,8,43.18,19
Software,Deterioration,1.34,4,6,46.03,20
Mechanical,Deterioration,0.03,4,20,51.11,21
Mechanical,Environment,3.34,3,15,40.72,22
Mechanical,Environment,6.73,4,13,61.65,23
Hydraulic,Operator,9.18,4,3,84.27,1
Mechanical,Operator,9.74,4,6,90.0,2
Mechanical,Deterioration,0.49,1,23,46.79,3
Electrical,Operator,4.66,3,20,60.55,4
Electrical,Environment,9.03,2,20,68.38,5
Hydraulic,Deterioration,0.54,2,16,37.67,6
Hydraulic,Deterioration,9.92,4,22,84.91,7
