temperature,humidity,air_quality,lighting,noise,vibration,environment_risk_score
33.78,72.88,329.14,987.1,45.22,4.75,31.28
33.48,52.51,119.06,372.43,73.05,1.25,38.46
31.51,33.71,179.25,907.08,113.64,1.57,32.03
44.59,36.83,457.91,119.56,42.71,3.67,42.77
25.75,67.42,157.86,317.21,80.89,1.01,26.62
23.11,51.07,459.77,771.01,93.58,7.57,48.92
24.08,68.18,108.42,549.7,105.03,2.77,34.67
29.11,86.73,206.69,468.83,79.69,2.31,40.2
23.3,56.67,144.99,709.15,44.92,0.68,18.57
43.52,51.73,476.58,277.16,103.77,4.58,72.56
33.95,30.16,172.04,423.36,54.63,4.93,25.11
26.72,54.69,484.34,901.23,85.79,9.03,47.08
29.41,60.17,444.58,866.95,92.07,3.76,39.37
23.32,62.56,482.71,131.2,50.7,3.18,37.81
41.94,44.35,262.41,526.7,116.54,9.14,62.86
22.9,59.0,181.57,776.03,98.91,5.89,26.89
31.71,64.54,155.29,204.46,99.56,7.03,57.46
30.03,67.96,456.57,572.54,88.75,2.17,48.53
44.65,84.44,11.35,926.49,46.55,9.36,52.52
39.47,55.29,72.78,337.47,51.79,4.75,30.25
23.32,74.83,343.7,701.03,77.56,2.15,36.53
24.73,46.88,360.81,339.38,76.05,2.74,32.65
36.12,49.32,138.98,596.53,76.58,7.2,49.67
23.44,71.83,361.46,477.06,97.58,8.84,64.64
31.87,81.45,303.75,575.1,88.93,1.54,35.89
40.31,83.4,193.05,166.73,73.11,4.94,50.65
27.82,53.26,442.2,942.76,67.0,9.21,45.79
37.3,72.2,472.55,420.82,111.29,1.84,64.13
29.12,51.41,154.1,607.52,44.16,4.71,21.39
27.5,68.68,499.73,703.45,72.64,0.64,40.83
24.08,47.76,440.44,414.32,47.73,1.08,36.64
39.84,45.29,396.84,985.35,59.19,9.88,54.47
21.65,80.71,285.01,953.93,95.47,4.0,28.28
36.31,77.01,117.79,731.45,43.48,8.9,43.58
43.81,42.13,69.91,433.4,80.1,0.46,48.19
36.64,61.96,234.01,256.98,80.28,7.77,53.38
25.82,78.04,186.3,150.11,63.79,6.54,38.42
41.01,45.09,272.75,485.62,41.9,3.44,44.97
37.78,54.48,60.86,778.73,81.41,5.92,37.7
41.75,51.46,410.27,213.62,52.42,9.9,70.41
28.15,34.84,134.73,849.71,57.5,0.93,12.78
42.03,37.65,54.2,370.58,81.44,2.26,30.81
24.59,41.95,32.53,528.2,54.75,0.49,6.31
31.44,50.78,31.62,456.43,115.67,5.46,33.42
22.59,69.79,199.3,919.87,54.75,2.92,29.81
43.15,86.63,341.25,384.94,75.07,8.91,67.22
31.78,45.16,314.87,364.64,87.79,3.05,46.25
29.85,46.83,42.16,282.67,63.22,1.4,27.42
24.9,70.71,430.99,256.02,105.99,5.9,50.49
35.6,49.23,87.18,605.22,87.59,1.11,40.33
44.57,43.35,389.59,564.44,64.9,3.57,50.96
25.23,56.44,334.14,748.58,82.29,0.95,25.14
43.54,46.7,498.48,762.3,99.0,2.53,45.43
34.95,64.6,85.72,819.1,109.94,5.32,36.02
41.75,50.93,144.59,620.48,56.31,0.18,25.18
41.64,34.21,41.05,241.37,91.59,3.21,47.82
28.13,49.68,244.83,989.76,113.5,9.75,61.72
36.74,83.64,488.58,534.33,111.23,4.27,60.49
32.37,62.23,358.35,864.78,88.69,4.18,39.08
31.94,64.71,51.24,760.98,110.03,9.42,58.32
31.9,50.04,343.09,604.17,113.14,6.15,58.95
26.42,56.34,310.05,589.85,41.42,8.26,31.73
25.05,64.98,79.6,163.77,52.16,7.57,44.78
26.06,57.44,407.85,559.29,113.26,7.25,52.65
30.37,33.31,92.86,496.87,117.28,4.25,34.66
39.88,50.61,477.04,588.86,115.11,8.67,66.69
44.7,84.38,230.64,459.13,80.7,0.21,63.55
41.13,77.75,261.52,642.79,44.02,5.44,53.56
22.3,78.65,448.87,567.99,95.64,6.84,45.04
36.81,82.03,204.91,831.96,57.51,9.16,54.38
37.6,39.15,408.49,794.02,119.02,1.68,42.49
40.96,77.03,178.12,295.78,114.56,0.64,51.27
37.33,70.09,256.77,151.66,97.57,3.51,57.89
21.25,62.8,420.28,243.91,89.6,5.85,49.32
39.18,56.82,385.78,684.79,41.59,4.15,37.5
28.32,76.38,395.2,588.79,62.25,5.66,47.83
26.65,47.51,432.23,536.0,84.21,6.21,47.67
23.27,51.19,446.39,202.14,61.15,4.79,44.37
24.38,86.54,338.43,694.84,49.86,5.79,42.27
43.66,50.91,304.61,388.19,117.85,0.24,52.41
29.24,46.94,377.58,869.19,42.21,8.21,46.55
28.3,82.08,67.52,131.67,54.27,5.11,28.48
20.68,38.64,175.54,279.32,55.36,3.05,14.93
28.01,58.01,90.73,921.17,58.16,5.95,21.52
44.77,88.3,315.08,480.6,104.39,6.41,63.78
27.17,71.92,33.49,663.25,78.45,7.23,38.96
24.92,88.25,49.58,282.93,112.96,9.99,64.38
27.5,66.93,416.83,196.58,45.95,2.03,33.2
26.13,59.25,371.17,199.79,76.65,1.84,45.03
30.55,69.48,282.21,952.68,51.82,6.01,43.22
20.04,74.06,16.69,568.85,96.33,5.33,22.89
29.72,40.96,325.48,869.14,58.47,0.71,33.83
36.07,35.58,293.9,368.82,100.31,3.38,34.64
21.14,83.46,459.55,310.17,81.77,3.54,39.04
21.62,42.86,474.65,309.79,40.42,1.96,30.11
35.21,33.76,483.3,102.06,99.35,7.36,61.14
21.48,83.28,463.4,120.22,81.7,6.31,49.05
25.8,67.47,164.07,209.04,94.15,3.17,42.52
21.07,78.45,6.85,942.0,53.06,4.45,8.31
24.03,86.5,403.9,104.99,83.53,1.9,51.52
24.02,30.21,386.92,739.44,67.79,3.32,35.17
41.31,82.31,193.9,305.59,100.47,1.03,47.45
39.17,41.2,134.51,634.8,82.86,2.53,44.16
43.41,63.23,416.75,232.73,42.31,7.71,70.8
28.58,80.51,14.36,559.23,118.67,0.94,24.84
23.21,70.47,23.04,800.75,97.59,2.57,17.51
41.43,41.92,115.57,633.95,117.76,1.87,45.23
21.56,88.35,52.86,740.38,82.14,6.9,31.83
37.38,79.28,263.61,341.35,103.95,5.13,48.62
42.56,39.34,170.89,209.21,61.57,2.77,37.41
23.52,44.73,6.8,443.6,100.48,4.36,27.42
40.35,74.55,267.34,933.53,98.3,7.4,49.37
21.05,55.28,94.23,455.67,88.55,6.93,31.07
22.87,71.7,186.28,574.29,69.98,4.69,30.45
38.98,53.92,492.9,368.52,103.55,8.58,67.44
31.7,68.61,316.59,155.93,109.92,2.33,53.46
42.84,88.51,363.14,624.37,105.92,1.74,64.96
42.96,71.9,83.45,661.71,66.4,0.16,39.6
35.0,57.03,106.15,791.83,50.2,7.8,35.58
41.04,70.28,493.88,580.88,65.35,0.58,46.0
32.38,80.28,150.06,326.49,60.09,7.28,41.54
23.87,50.92,428.45,132.64,82.78,3.38,41.54
36.59,39.9,160.76,429.52,61.69,2.36,28.65
40.81,77.26,259.48,850.43,53.25,5.85,51.15
42.94,82.56,466.25,580.44,103.39,9.38,68.33
20.16,58.72,359.12,135.98,103.71,6.75,45.33
22.95,42.48,351.22,750.61,116.36,2.0,30.91
23.45,59.0,474.32,520.85,67.96,2.94,39.62
32.41,61.6,348.0,692.81,60.75,1.19,29.84
37.11,68.0,10.63,580.06,111.21,1.73,41.34
34.21,54.98,210.36,644.82,41.89,8.36,40.21
37.13,38.93,377.33,856.38,57.47,4.62,32.4
42.56,75.96,383.83,698.6,58.14,9.74,62.78
31.87,68.78,176.28,639.07,58.56,9.57,42.88
44.98,62.8,331.76,667.4,97.92,0.49,62.41
37.41,83.41,213.06,230.91,73.34,3.33,38.76
44.89,70.44,374.93,676.0,49.03,5.37,46.92
29.59,81.62,56.12,487.88,95.29,4.83,46.68
39.71,39.93,95.62,466.57,48.8,7.27,42.12
34.42,79.23,329.65,406.8,106.72,4.21,57.39
25.37,48.9,440.71,813.51,81.49,4.96,31.44
22.13,75.54,418.16,836.29,78.58,3.19,37.04
24.01,65.81,234.07,173.12,66.93,5.87,34.75
21.45,39.82,72.73,314.25,46.08,5.44,30.69
25.36,53.98,174.53,248.82,72.14,8.24,47.84
42.16,62.19,356.91,846.41,103.32,0.82,56.71
36.67,40.28,70.0,273.73,66.34,3.58,41.38
44.13,42.37,182.31,634.74,55.84,9.42,46.12
25.68,75.69,287.93,799.27,62.32,3.79,32.14
29.08,77.2,355.12,259.52,86.04,1.9,33.72
30.74,39.26,173.93,962.61,56.01,5.28,15.83
23.46,88.45,181.2,397.32,118.21,5.22,57.82
34.03,48.78,421.23,106.29,40.49,1.42,28.6
24.37,70.87,101.19,462.37,80.28,0.49,21.48
32.76,34.55,394.07,914.38,85.57,8.31,41.09
27.16,52.58,138.82,905.2,52.03,6.19,22.46
38.77,56.59,362.72,958.63,46.24,2.96,42.12
28.17,54.79,228.05,883.38,95.87,3.17,41.61
26.85,61.09,258.08,901.64,86.78,9.59,46.66
33.42,85.15,240.06,338.39,65.43,9.83,50.35
43.84,68.41,26.72,905.97,82.36,2.2,46.99
22.14,68.87,348.03,765.79,66.15,5.76,31.26
33.41,41.16,185.56,472.33,73.2,9.99,41.01
33.4,66.88,183.56,854.89,53.85,7.23,44.82
20.0,65.17,195.09,786.13,95.58,0.87,25.93
43.94,57.56,40.48,354.78,81.99,2.65,43.28
28.4,80.55,145.34,639.34,66.63,4.74,31.07
29.32,65.53,255.85,175.48,118.43,2.65,49.16
36.54,53.59,153.64,377.42,45.2,3.47,42.58
36.31,45.45,209.43,554.75,85.25,4.94,34.52
32.2,44.49,70.72,128.13,90.78,1.14,23.96
26.86,74.06,324.63,145.65,52.32,5.99,33.92
30.74,50.43,1.61,581.21,73.4,8.08,36.51
30.21,77.05,160.19,364.61,72.72,9.69,48.42
35.83,39.04,337.88,481.08,56.7,5.0,36.89
23.43,58.79,282.99,129.18,41.73,1.96,23.88
20.41,30.76,292.31,147.22,55.11,2.9,30.96
35.33,45.21,89.54,916.4,114.23,5.79,37.46
37.05,50.99,134.71,633.51,76.42,4.34,33.96
36.38,67.43,229.0,622.8,47.62,1.7,39.16
28.45,61.72,313.17,633.74,115.95,7.61,61.53
24.5,35.46,118.97,784.45,60.8,8.49,23.49
40.0,76.27,89.19,292.94,63.35,9.61,57.25
21.67,33.36,130.08,421.19,49.49,9.83,35.39
25.3,37.66,265.9,720.67,41.1,3.0,22.51
44.7,79.51,305.04,602.42,49.13,9.89,72.67
37.46,35.2,326.28,342.53,66.79,7.63,46.07
20.99,67.11,210.06,952.19,90.53,8.92,45.56
43.32,45.16,419.28,394.33,68.42,6.39,61.39
33.17,46.77,82.62,219.51,51.78,6.19,25.7
27.07,66.96,14.45,932.04,58.11,8.42,31.41
33.06,36.01,460.17,558.89,111.04,1.52,48.03
32.75,68.73,114.1,976.88,119.46,4.65,34.01
20.1,40.05,163.94,952.51,63.36,9.19,26.17
36.66,39.51,488.77,301.75,89.53,2.17,38.18
25.44,30.12,106.51,691.74,100.57,9.02,47.21
23.01,65.55,268.92,182.09,85.22,1.09,43.97
44.91,31.24,168.83,272.14,87.3,0.36,49.74
32.13,59.55,203.5,644.02,66.88,5.37,33.62
41.31,69.21,107.98,524.93,91.64,3.13,40.48
20.95,85.88,264.34,897.59,85.15,4.94,26.68
30.35,89.74,211.28,820.98,50.25,3.47,28.83
34.96,55.15,348.77,542.35,40.18,6.93,36.05
32.82,73.41,481.38,757.53,70.01,6.23,51.56
21.76,31.59,122.62,693.12,107.06,8.74,35.27
20.27,63.61,373.6,940.75,91.21,3.75,40.36
33.59,51.98,432.03,128.41,62.95,3.39,37.91
42.56,85.62,56.92,947.13,115.38,6.38,51.65
24.46,79.03,406.7,820.45,63.64,5.09,41.38
39.33,53.11,457.95,783.53,81.41,6.55,59.02
34.2,85.05,386.83,373.6,60.26,2.06,47.42
42.88,49.43,473.8,142.02,112.96,4.75,71.19
37.26,79.37,200.39,398.34,50.06,4.37,39.6
26.98,37.81,143.95,218.45,50.99,9.91,40.26
32.81,86.04,331.23,283.68,115.98,0.99,54.53
33.66,44.33,93.74,323.11,83.22,8.8,38.29
23.78,36.53,62.33,965.04,50.37,4.74,20.23
40.7,83.43,341.71,987.69,117.28,1.39,61.79
24.71,48.24,75.32,726.54,89.8,1.97,14.24
24.35,78.57,96.78,865.19,87.54,0.0,32.93
32.86,65.11,95.06,798.48,44.59,3.52,26.64
35.35,41.15,491.51,656.9,83.29,2.58,37.52
20.08,51.07,173.42,332.98,83.48,4.03,38.45
38.85,58.73,118.29,625.65,77.17,8.27,55.54
28.3,78.21,458.21,792.1,116.87,7.8,56.79
42.58,52.06,114.67,720.45,70.16,1.82,45.04
21.33,65.8,299.6,866.53,93.57,5.66,46.39
20.31,43.44,236.61,407.05,115.96,9.67,57.98
21.14,66.24,460.27,356.42,102.06,7.08,54.64
27.36,44.24,433.35,904.73,101.14,0.37,41.47
33.02,76.84,400.26,662.65,83.56,3.16,41.98
25.63,50.72,212.85,712.07,104.1,5.57,30.97
35.32,40.71,483.89,442.73,53.48,9.81,63.61
35.36,42.07,465.55,384.25,52.72,2.79,31.9
40.28,88.09,167.04,725.99,95.62,1.39,46.82
35.71,62.7,84.28,433.3,117.47,7.38,46.17
35.78,36.99,445.5,516.81,97.74,6.02,57.71
28.49,32.37,464.49,235.05,117.6,1.44,47.22
27.85,36.34,427.63,393.16,43.65,0.02,34.64
27.98,85.56,314.2,996.14,93.03,3.77,45.71
43.24,77.8,246.75,209.25,109.53,7.08,72.23
32.29,76.53,116.94,174.85,51.25,8.73,40.62
31.14,71.7,373.06,558.23,102.77,1.97,46.2
30.38,46.75,117.36,831.3,96.85,4.83,30.15
44.27,54.39,114.61,661.59,82.1,9.5,66.71
29.5,44.9,416.79,661.13,119.98,0.64,36.2
40.17,76.37,492.96,500.47,108.57,9.33,81.18
32.4,76.5,2.88,277.87,53.93,5.18,26.82
41.25,84.88,408.22,735.96,71.66,3.08,52.89
35.48,63.41,59.65,943.87,40.72,3.16,15.56
27.92,44.7,196.06,740.02,87.73,2.81,30.36
36.7,40.57,493.81,771.82,62.38,9.74,44.68
21.08,35.0,24.47,760.21,54.79,2.83,17.8
36.74,72.0,311.72,560.36,77.16,1.64,51.24
36.4,75.35,312.98,624.8,65.42,5.65,43.77
22.53,72.91,220.16,314.99,52.48,2.52,37.2
24.38,83.77,399.45,240.25,62.3,3.43,47.82
33.32,32.1,390.08,243.58,111.13,4.89,47.71
35.65,41.49,223.61,808.42,74.81,7.93,44.6
29.43,82.45,203.87,500.77,89.66,5.1,49.1
27.33,58.43,420.4,136.52,116.1,0.42,46.64
39.38,61.55,10.33,840.24,68.03,9.34,34.37
20.75,75.59,313.21,389.51,97.28,1.19,41.17
43.06,37.13,10.19,755.61,92.0,2.65,37.33
40.59,40.78,391.98,645.91,45.27,3.67,32.44
28.95,68.23,92.03,455.22,83.16,5.83,29.58
35.31,73.48,194.72,813.59,119.64,0.23,44.1
36.51,56.33,320.56,481.88,92.08,3.01,47.07
39.76,41.45,246.63,934.55,53.07,7.56,50.59
39.57,31.83,240.29,167.78,53.13,7.26,57.09
39.23,46.29,260.29,962.69,54.39,3.51,29.97
30.25,66.42,4.52,522.29,51.24,0.61,9.44
25.4,35.87,224.27,133.29,85.77,0.32,40.58
28.01,89.14,12.51,256.25,50.72,4.29,35.58
25.54,74.8,239.39,293.58,77.57,9.72,54.12
36.4,53.19,378.71,472.72,67.86,7.77,44.44
38.19,63.86,467.34,935.86,92.72,5.11,44.22
44.08,47.0,287.04,681.93,48.7,0.47,31.25
21.05,71.01,105.53,929.28,70.53,2.02,31.13
23.72,86.67,245.35,922.09,45.66,1.57,15.68
27.4,30.35,321.9,188.8,65.45,2.02,26.01
29.15,84.44,251.45,235.12,64.31,1.78,29.23
43.36,51.32,195.29,764.63,108.23,9.84,66.53
30.96,71.98,14.91,614.83,59.61,7.51,26.7
38.01,65.75,302.13,532.6,108.75,8.01,71.15
39.23,31.51,66.05,564.77,88.21,6.98,47.78
42.78,75.9,111.68,566.57,102.97,1.62,58.22
26.8,73.56,265.53,903.18,87.94,1.87,34.14
20.9,44.17,192.17,845.1,72.78,1.02,25.34
21.08,53.82,316.16,373.5,52.4,7.53,42.49
30.67,89.59,365.24,704.78,114.98,1.46,54.88
24.98,75.05,353.22,471.99,71.56,9.62,47.5
28.78,50.22,78.25,616.97,54.03,1.66,13.17
37.78,46.07,34.99,120.89,82.87,8.83,49.31
24.16,45.49,112.08,793.97,56.01,8.36,34.07
35.77,37.78,270.42,428.59,45.41,5.0,34.66
34.12,70.29,30.1,617.74,54.29,0.53,21.69
20.77,69.56,171.24,240.83,78.88,2.06,25.94
27.82,30.52,334.01,888.47,91.4,4.17,28.41
42.08,74.89,286.34,571.17,104.65,4.01,47.97
37.76,59.43,19.31,160.56,117.23,3.65,45.81
40.22,71.43,18.83,106.84,117.67,3.12,49.9
26.12,71.89,360.89,858.5,42.62,5.38,32.32
40.37,55.33,264.27,798.73,108.86,9.36,71.97
31.15,75.07,345.94,219.48,45.15,4.16,34.83
37.19,65.93,208.6,855.53,63.33,8.36,39.18
41.17,68.96,410.06,593.64,40.17,7.14,63.02
24.89,83.32,447.21,200.15,105.56,7.82,62.88
30.15,78.19,266.68,819.68,114.11,0.78,44.57
33.27,38.18,393.56,507.38,111.62,3.59,41.05
22.89,65.19,397.81,609.56,61.68,7.22,50.32
31.9,47.21,197.06,305.42,82.0,8.92,40.51
37.7,49.43,429.04,341.77,67.68,3.72,44.51
34.8,35.16,160.19,969.56,66.02,3.63,29.2
20.6,48.39,205.7,964.17,58.4,0.72,9.93
22.14,53.23,291.93,674.68,86.58,1.12,21.58
34.19,68.18,251.71,135.09,81.92,0.81,50.81
42.29,68.27,109.78,475.97,118.68,0.21,51.22
37.63,59.63,111.39,114.07,51.74,8.73,60.04
33.36,39.95,111.92,802.12,63.86,9.06,32.87
33.65,48.11,265.6,169.69,56.61,0.27,40.89
39.34,63.74,417.95,913.48,90.05,3.4,54.09
30.14,36.33,165.46,907.09,112.79,9.89,58.35
42.48,52.65,169.91,930.36,92.12,3.72,51.67
25.38,39.48,259.03,337.7,76.19,1.81,34.15
26.93,73.83,108.51,933.79,58.12,0.18,20.94
30.11,65.02,54.59,534.21,94.01,0.09,25.22
44.44,84.47,250.93,425.0,109.32,0.25,69.65
31.08,51.84,428.99,924.66,101.77,0.49,40.49
30.02,77.12,479.58,572.92,100.7,1.6,39.24
42.01,84.81,59.22,934.5,95.0,0.13,35.54
33.33,48.92,492.27,248.33,49.39,5.85,53.0
44.33,46.42,46.18,301.46,60.7,4.59,39.42
32.14,36.92,272.52,130.53,113.27,4.15,55.4
31.55,50.12,385.38,990.0,69.45,6.42,36.88
28.67,68.95,408.48,180.47,49.08,4.5,35.72
26.75,88.42,286.38,207.45,45.2,8.8,50.29
28.14,32.03,222.27,703.05,64.4,7.98,38.11
36.78,36.98,398.19,276.12,112.4,2.75,46.33
38.56,34.58,264.35,855.59,60.16,3.81,41.95
29.15,42.52,69.61,724.0,63.71,5.38,29.22
42.09,87.29,47.91,408.0,77.85,5.4,50.72
43.92,77.87,194.35,697.9,77.37,4.78,48.53
27.71,74.96,154.43,695.31,68.36,8.96,35.0
23.55,31.26,30.81,428.26,95.46,4.83,29.52
29.07,30.9,36.58,235.2,74.88,6.46,22.69
30.82,42.94,52.79,638.44,102.87,2.93,35.57
33.56,55.87,353.25,245.41,65.06,0.41,39.26
36.27,43.59,146.76,183.4,64.52,1.89,42.46
31.85,36.44,438.79,187.9,68.42,6.66,36.49
34.27,86.84,341.62,434.04,78.05,8.97,66.98
26.24,48.73,136.2,396.47,119.8,5.31,33.1
35.37,44.8,266.29,930.68,51.92,5.79,28.96
33.03,72.3,406.33,349.09,107.24,9.82,64.49
39.07,40.91,106.42,234.28,80.57,2.89,47.95
40.51,45.63,3.15,292.79,47.05,4.55,33.67
30.64,39.59,459.89,379.18,83.33,8.41,59.41
40.8,59.52,330.71,738.87,119.29,5.54,54.8
43.78,70.98,56.24,635.77,77.5,8.65,46.42
21.64,85.77,384.8,192.08,119.17,5.09,61.01
39.39,78.63,264.69,839.74,82.13,0.85,41.83
28.58,65.43,396.68,994.5,45.69,3.86,30.26
21.02,30.95,468.54,555.52,117.51,0.95,45.83
42.63,65.1,286.38,185.76,60.91,1.5,56.61
44.56,37.82,192.25,403.18,47.55,9.76,54.41
36.63,77.98,3.39,390.17,89.33,5.7,47.04
33.89,48.45,213.0,161.05,85.73,1.39,34.85
33.89,60.24,184.62,193.93,111.22,5.29,56.9
42.8,46.09,381.74,742.66,46.51,7.83,43.47
37.1,36.95,438.87,628.09,88.41,8.42,48.33
29.74,68.09,56.5,339.24,101.09,0.46,24.93
40.8,60.11,410.61,716.3,114.83,3.83,58.75
38.52,49.89,282.08,263.66,53.75,6.41,41.98
20.3,85.57,358.72,714.31,93.99,3.07,30.03
37.93,65.72,98.77,145.23,69.99,0.04,29.63
40.9,30.65,131.97,961.18,87.93,9.05,53.71
21.31,89.24,31.58,355.87,58.97,3.69,25.21
37.11,78.56,374.76,108.62,80.56,0.21,53.49
41.49,72.94,332.93,410.09,62.61,9.49,60.22
32.36,79.51,208.63,521.32,76.84,5.81,49.04
32.51,30.67,30.98,730.13,92.81,8.87,29.05
42.07,38.73,419.13,595.66,114.38,5.52,56.31
25.33,66.26,207.8,330.2,58.03,5.19,37.84
21.84,80.48,320.75,741.84,107.56,8.06,60.3
36.68,61.01,280.06,545.37,117.25,3.69,45.5
28.4,89.73,195.91,283.88,69.49,6.81,50.35
28.5,48.75,12.03,855.28,52.35,4.44,13.26
25.71,39.34,147.75,320.17,113.34,9.93,45.35
39.16,45.18,475.99,625.4,77.58,2.3,43.2
32.55,88.36,315.46,433.69,54.46,0.79,32.29
31.7,85.5,332.27,428.97,62.3,6.45,55.56
32.74,39.36,49.58,812.29,61.61,1.58,25.3
22.09,53.07,479.58,229.08,82.72,9.22,51.29
23.83,30.61,376.65,762.12,103.59,9.92,51.93
38.84,54.69,464.04,347.72,100.05,1.76,57.31
44.82,42.84,396.79,895.4,92.35,9.46,57.5
30.65,35.12,143.13,269.76,86.87,9.6,50.4
36.82,82.29,373.52,997.36,62.19,7.92,59.73
32.19,73.73,470.97,859.75,109.31,1.91,48.53
29.51,83.43,5.99,836.64,70.43,7.76,40.2
28.76,60.11,185.27,451.07,56.14,9.53,40.37
23.42,69.58,18.05,425.94,84.08,2.11,32.42
27.5,59.02,385.19,774.33,110.92,3.72,49.95
26.14,83.98,157.05,516.89,117.01,4.14,43.54
29.84,60.49,48.41,764.76,86.5,8.01,34.96
26.89,82.53,422.16,670.72,75.05,2.8,29.95
31.3,48.34,73.96,156.47,66.77,5.96,31.74
40.42,86.13,78.62,158.05,118.53,5.22,52.6
23.11,52.08,307.28,522.8,69.54,1.67,23.97
28.34,41.64,237.43,795.98,91.68,1.6,18.81
41.42,37.21,382.6,614.61,100.94,3.62,59.74
30.22,55.29,355.01,384.58,48.45,3.25,35.42
24.8,85.63,486.75,341.88,44.64,4.53,51.15
26.79,74.62,295.99,959.7,100.2,3.64,45.51
32.78,74.79,109.32,826.95,89.66,7.82,42.51
33.62,77.1,193.64,791.18,103.68,2.91,33.17
34.83,48.13,104.51,424.41,93.34,3.72,42.67
40.99,31.04,385.08,766.31,85.91,3.37,50.53
32.76,84.77,65.38,607.65,82.39,9.37,46.59
37.73,77.67,135.03,946.1,116.58,7.47,54.46
41.01,35.91,252.36,389.47,75.79,7.54,58.96
24.06,50.27,195.45,908.91,51.33,5.6,18.82
37.59,69.87,237.4,957.06,116.03,5.45,44.04
20.25,39.19,426.44,403.04,41.18,4.36,36.34
33.61,84.82,313.96,867.63,60.55,3.44,35.09
29.53,79.47,302.05,299.34,60.19,9.87,65.11
42.76,56.88,144.86,957.17,117.27,2.3,55.47
34.28,62.26,184.26,885.74,112.93,7.41,56.51
43.86,77.46,276.33,759.73,108.76,6.37,67.42
43.4,56.65,21.72,853.08,46.54,9.11,43.32
42.59,70.71,438.37,550.48,67.83,2.69,55.05
22.02,44.48,374.66,138.22,98.86,3.46,46.36
36.95,87.6,433.87,821.38,97.66,5.63,55.19
22.58,75.13,55.4,935.2,52.05,2.13,18.54
39.83,66.09,64.0,986.65,42.69,5.59,28.87
34.42,38.65,65.58,788.6,85.43,4.6,26.86
27.47,41.9,311.74,389.5,101.12,3.75,40.72
31.22,52.19,102.69,368.6,97.58,2.86,37.76
36.02,42.73,451.48,904.81,68.93,2.11,29.28
32.77,84.8,328.59,758.43,95.89,2.15,33.83
27.57,63.78,84.16,511.98,103.45,0.44,36.18
23.49,50.55,435.75,232.08,95.22,5.03,43.98
25.3,78.76,485.86,797.95,41.48,8.06,48.19
22.47,33.26,222.47,853.44,53.37,8.57,31.12
22.8,72.67,477.39,840.17,92.37,5.15,42.54
27.18,74.39,248.38,801.9,83.24,7.32,35.4
39.39,48.02,428.37,731.24,59.11,0.46,46.19
20.72,59.84,273.5,753.05,72.9,7.65,28.76
33.93,77.1,263.59,583.03,50.21,8.82,42.71
28.63,60.25,462.11,416.64,61.39,8.54,54.52
25.27,44.69,228.5,600.96,79.06,2.83,24.31
22.88,51.48,228.23,865.27,79.09,0.72,21.12
32.61,83.92,188.79,520.34,49.72,0.1,35.38
40.36,80.7,289.05,822.72,47.64,6.36,48.04
44.57,78.41,72.78,775.63,108.38,2.64,43.22
21.55,61.8,163.83,441.65,81.2,7.63,45.58
30.54,85.71,418.92,312.21,41.11,1.73,33.42
29.34,34.73,282.2,413.08,116.74,5.58,39.6
37.8,73.47,67.66,353.55,72.21,7.59,41.42
